id,origin,destination,transit_time,capacity,fixed_cost,variable_cost
e_0,node_4,node_5,16.0,1469.8809026326785,10219.06031310523,
e_1,node_3,node_16,4.0,979.920601755119,2270.902291801162,
e_2,node_19,node_0,7.0,1061.580651901379,4541.804583602324,
e_3,node_6,node_15,36.0,163.32010029251984,22709.022918011622,
e_4,node_3,node_9,18.0,326.6402005850397,11354.511459005811,
e_5,node_19,node_11,49.0,1388.2208524864186,30657.180939315687,
e_6,node_14,node_3,29.0,2449.8015043877976,18167.218334409295,
e_7,node_1,node_10,42.0,2449.8015043877976,26115.376355713364,
e_8,node_11,node_19,18.0,1959.841203510238,11354.511459005811,
e_9,node_7,node_8,40.0,1878.1811533639782,24979.925209812784,
e_10,node_2,node_3,15.0,1878.1811533639782,9083.609167204648,
e_11,node_14,node_4,11.0,1469.8809026326785,6812.706875403486,
e_12,node_13,node_3,20.0,81.66005014625992,12489.962604906392,
e_13,node_18,node_19,51.0,489.9603008775595,31792.63208521627,
e_14,node_6,node_10,15.0,2368.1414542415378,9083.609167204648,
e_15,node_10,node_1,29.0,1224.9007521938988,18167.218334409295,
e_16,node_1,node_13,33.0,1306.5608023401587,20438.12062621046,
e_17,node_0,node_7,49.0,81.66005014625992,30657.180939315687,
e_18,node_1,node_9,18.0,408.30025073129957,11354.511459005811,
e_19,node_15,node_8,49.0,1878.1811533639782,30657.180939315687,
e_20,node_6,node_12,29.0,979.920601755119,18167.218334409295,
e_21,node_9,node_12,55.0,2041.501253656498,34063.53437701743,
e_22,node_17,node_13,45.0,81.66005014625992,28386.278647514526,
e_23,node_0,node_10,51.0,1878.1811533639782,31792.63208521627,
e_24,node_3,node_12,38.0,326.6402005850397,23844.474063912203,
e_25,node_6,node_7,45.0,2286.481404095278,28386.278647514526,
e_26,node_14,node_15,9.0,898.2605516088591,5677.2557295029055,
e_27,node_3,node_10,9.0,2041.501253656498,5677.2557295029055,
e_28,node_9,node_3,29.0,1388.2208524864186,18167.218334409295,
e_29,node_6,node_19,11.0,1224.9007521938988,6812.706875403486,
e_30,node_17,node_14,4.0,408.30025073129957,2270.902291801162,
e_31,node_12,node_16,45.0,1633.2010029251983,28386.278647514526,
e_32,node_12,node_2,25.0,1633.2010029251983,15896.316042608136,
e_33,node_7,node_0,15.0,1143.240702047639,9083.609167204648,
e_34,node_7,node_12,51.0,2041.501253656498,31792.63208521627,
e_35,node_16,node_10,16.0,571.6203510238195,10219.06031310523,
e_36,node_19,node_9,51.0,1551.5409527789384,31792.63208521627,
e_37,node_16,node_4,31.0,2123.161303802758,19302.66948030988,
e_38,node_8,node_0,16.0,571.6203510238195,10219.06031310523,
e_39,node_12,node_18,33.0,2368.1414542415378,20438.12062621046,
e_40,node_17,node_18,27.0,2368.1414542415378,17031.767188508715,
e_41,node_16,node_11,51.0,1878.1811533639782,31792.63208521627,
e_42,node_1,node_6,18.0,244.98015043877976,11354.511459005811,
e_43,node_0,node_11,7.0,1224.9007521938988,4541.804583602324,
e_44,node_4,node_18,27.0,163.32010029251984,17031.767188508715,
e_45,node_15,node_10,5.0,408.30025073129957,3406.353437701743,
e_46,node_13,node_16,11.0,816.6005014625991,6812.706875403486,
e_47,node_19,node_7,42.0,2204.821353949018,26115.376355713364,
e_48,node_2,node_8,55.0,1388.2208524864186,34063.53437701743,
e_49,node_3,node_2,38.0,653.2804011700794,23844.474063912203,
e_50,node_17,node_6,47.0,1714.8610530714584,29521.729793415107,
e_51,node_18,node_3,55.0,326.6402005850397,34063.53437701743,
e_52,node_19,node_5,18.0,2041.501253656498,11354.511459005811,
e_53,node_19,node_16,24.0,1306.5608023401587,14760.864896707553,
e_54,node_2,node_19,4.0,81.66005014625992,2270.902291801162,
e_55,node_18,node_8,15.0,653.2804011700794,9083.609167204648,
e_56,node_1,node_12,20.0,2449.8015043877976,12489.962604906392,
e_57,node_8,node_2,40.0,1633.2010029251983,24979.925209812784,
e_58,node_14,node_18,44.0,2123.161303802758,27250.827501613945,
e_59,node_5,node_6,13.0,2286.481404095278,7948.158021304068,
e_60,node_6,node_17,36.0,816.6005014625991,22709.022918011622,
e_61,node_17,node_9,35.0,1959.841203510238,21573.57177211104,
e_62,node_6,node_11,45.0,1469.8809026326785,28386.278647514526,
e_63,node_8,node_15,51.0,1469.8809026326785,31792.63208521627,
e_64,node_11,node_14,44.0,163.32010029251984,27250.827501613945,
e_65,node_18,node_13,4.0,1061.580651901379,2270.902291801162,
e_66,node_17,node_1,55.0,1633.2010029251983,34063.53437701743,
e_67,node_18,node_0,45.0,1306.5608023401587,28386.278647514526,
e_68,node_15,node_17,9.0,1388.2208524864186,5677.2557295029055,
e_69,node_5,node_14,47.0,1143.240702047639,29521.729793415107,
e_70,node_12,node_9,18.0,816.6005014625991,11354.511459005811,
e_71,node_6,node_16,38.0,1796.5211032177183,23844.474063912203,
e_72,node_15,node_18,38.0,1959.841203510238,23844.474063912203,
e_73,node_0,node_19,9.0,326.6402005850397,5677.2557295029055,
e_74,node_7,node_17,35.0,2041.501253656498,21573.57177211104,
e_75,node_2,node_5,42.0,653.2804011700794,26115.376355713364,
e_76,node_1,node_3,18.0,1061.580651901379,11354.511459005811,
e_77,node_6,node_9,35.0,1959.841203510238,21573.57177211104,
e_78,node_0,node_1,11.0,2123.161303802758,6812.706875403486,
e_79,node_10,node_0,29.0,571.6203510238195,18167.218334409295,
e_80,node_0,node_12,36.0,244.98015043877976,22709.022918011622,
e_81,node_0,node_2,45.0,1959.841203510238,28386.278647514526,
e_82,node_3,node_6,29.0,1061.580651901379,18167.218334409295,
e_83,node_18,node_1,49.0,1143.240702047639,30657.180939315687,
e_84,node_9,node_8,42.0,1224.9007521938988,26115.376355713364,
e_85,node_6,node_5,36.0,81.66005014625992,22709.022918011622,
e_86,node_4,node_1,16.0,816.6005014625991,10219.06031310523,
e_87,node_10,node_5,4.0,1306.5608023401587,2270.902291801162,
e_88,node_9,node_1,22.0,1224.9007521938988,13625.413750806973,
e_89,node_15,node_11,27.0,898.2605516088591,17031.767188508715,
e_90,node_12,node_8,13.0,1878.1811533639782,7948.158021304068,
e_91,node_11,node_9,38.0,2123.161303802758,23844.474063912203,
e_92,node_1,node_8,38.0,734.9404513163392,23844.474063912203,
e_93,node_9,node_6,36.0,1714.8610530714584,22709.022918011622,
e_94,node_1,node_16,53.0,1469.8809026326785,32928.08323111685,
e_95,node_13,node_17,13.0,571.6203510238195,7948.158021304068,
e_96,node_10,node_3,42.0,816.6005014625991,26115.376355713364,
e_97,node_13,node_12,29.0,816.6005014625991,18167.218334409295,
e_98,node_6,node_18,45.0,1388.2208524864186,28386.278647514526,
e_99,node_15,node_5,13.0,2368.1414542415378,7948.158021304068,
e_100,node_19,node_12,20.0,1714.8610530714584,12489.962604906392,
e_101,node_5,node_7,7.0,1878.1811533639782,4541.804583602324,
e_102,node_5,node_4,49.0,1469.8809026326785,30657.180939315687,
e_103,node_12,node_4,49.0,816.6005014625991,30657.180939315687,
e_104,node_5,node_2,9.0,163.32010029251984,5677.2557295029055,
e_105,node_9,node_11,15.0,408.30025073129957,9083.609167204648,
e_106,node_3,node_11,18.0,1878.1811533639782,11354.511459005811,
e_107,node_8,node_19,36.0,81.66005014625992,22709.022918011622,
e_108,node_16,node_1,42.0,1959.841203510238,26115.376355713364,
e_109,node_3,node_17,24.0,1959.841203510238,14760.864896707553,
e_110,node_18,node_9,16.0,1796.5211032177183,10219.06031310523,
e_111,node_5,node_8,7.0,244.98015043877976,4541.804583602324,
e_112,node_19,node_8,16.0,571.6203510238195,10219.06031310523,
e_113,node_13,node_5,11.0,1061.580651901379,6812.706875403486,
