id,origin,destination,demand,release_time,deadline
k_0,node_0,node_15,43,0,28
k_1,node_4,node_3,88,0,25
k_2,node_3,node_5,37,0,13
k_3,node_13,node_18,34,0,22
k_4,node_8,node_1,92,0,28
k_5,node_15,node_12,71,0,11
k_6,node_9,node_0,97,0,28
k_7,node_14,node_4,38,0,15
k_8,node_16,node_11,4,0,34
k_9,node_3,node_11,93,0,34
k_10,node_16,node_9,82,0,32
k_11,node_16,node_14,67,0,10
k_12,node_7,node_17,30,0,17
k_13,node_10,node_1,22,0,14
k_14,node_5,node_14,36,0,23
k_15,node_18,node_11,8,0,34
k_16,node_17,node_16,90,0,16
k_17,node_19,node_17,18,0,17
k_18,node_9,node_11,99,0,19
k_19,node_17,node_9,77,0,26
k_20,node_17,node_1,68,0,28
k_21,node_8,node_7,78,0,23
k_22,node_10,node_8,77,0,18
k_23,node_3,node_6,95,0,23
k_24,node_12,node_5,89,0,22
k_25,node_2,node_17,70,0,29
k_26,node_7,node_17,30,0,17
k_27,node_3,node_11,75,0,34
k_28,node_3,node_7,2,0,17
k_29,node_11,node_9,31,0,32
k_30,node_13,node_19,10,0,17
k_31,node_6,node_9,7,0,32
k_32,node_17,node_3,76,0,25
k_33,node_8,node_4,88,0,15
k_34,node_2,node_8,15,0,29
k_35,node_11,node_2,44,0,33
k_36,node_17,node_2,76,0,33
k_37,node_0,node_13,93,0,25
k_38,node_4,node_12,51,0,28
k_39,node_10,node_3,44,0,25
k_40,node_12,node_5,28,0,22
k_41,node_9,node_14,29,0,10
k_42,node_16,node_11,99,0,34
k_43,node_10,node_1,83,0,14
k_44,node_3,node_17,38,0,29
k_45,node_1,node_5,96,0,31
k_46,node_4,node_2,66,0,33
k_47,node_19,node_16,84,0,20
k_48,node_9,node_6,56,0,28
k_49,node_9,node_0,89,0,28
k_50,node_9,node_7,81,0,23
k_51,node_0,node_18,86,0,22
k_52,node_8,node_10,4,0,17
k_53,node_12,node_2,92,0,33
k_54,node_14,node_3,98,0,34
k_55,node_19,node_3,99,0,25
k_56,node_0,node_5,65,0,22
k_57,node_6,node_16,77,0,31
k_58,node_5,node_17,2,0,29
k_59,node_18,node_8,6,0,18
k_60,node_13,node_9,90,0,17
k_61,node_19,node_12,61,0,28
k_62,node_18,node_6,52,0,23
k_63,node_1,node_5,30,0,31
k_64,node_4,node_14,45,0,23
k_65,node_3,node_18,100,0,22
k_66,node_11,node_18,62,0,34
k_67,node_2,node_8,73,0,29
k_68,node_4,node_7,84,0,17
k_69,node_17,node_7,22,0,17
k_70,node_8,node_13,20,0,25
k_71,node_12,node_2,6,0,33
k_72,node_5,node_19,2,0,17
k_73,node_17,node_0,86,0,23
k_74,node_15,node_16,61,0,20
k_75,node_16,node_3,30,0,25
k_76,node_11,node_1,16,0,28
k_77,node_2,node_13,35,0,25
k_78,node_16,node_2,40,0,21
k_79,node_10,node_12,75,0,11
k_80,node_5,node_19,40,0,17
k_81,node_4,node_15,13,0,28
k_82,node_14,node_9,46,0,26
k_83,node_14,node_9,86,0,26
k_84,node_9,node_7,72,0,23
k_85,node_18,node_6,80,0,23
k_86,node_19,node_6,52,0,40
k_87,node_18,node_6,70,0,23
k_88,node_18,node_5,84,0,22
k_89,node_15,node_16,26,0,20
k_90,node_4,node_3,52,0,25
k_91,node_7,node_15,51,0,17
k_92,node_4,node_14,12,0,23
k_93,node_19,node_15,31,0,28
k_94,node_17,node_3,83,0,25
k_95,node_19,node_10,46,0,33
k_96,node_5,node_1,63,0,14
k_97,node_3,node_10,41,0,17
k_98,node_18,node_9,74,0,26
k_99,node_2,node_18,52,0,34
k_100,node_14,node_8,27,0,29
k_101,node_17,node_0,36,0,23
