id,origin,destination,demand,release_time,deadline,arc_list,node_list
k_0,node_12,node_9,31,44,118,"['e_206', 'e_18', 'e_251']","['node_12', 'node_5', 'node_11', 'node_9']"
k_1,node_10,node_22,30,42,152,"['e_128', 'e_284', 'e_79', 'e_254']","['node_10', 'node_2', 'node_1', 'node_8', 'node_22']"
k_2,node_15,node_5,80,44,137,"['e_132', 'e_167', 'e_235']","['node_15', 'node_8', 'node_18', 'node_5']"
k_3,node_0,node_11,4,50,99,"['e_187', 'e_79', 'e_61']","['node_0', 'node_1', 'node_8', 'node_11']"
k_4,node_17,node_10,24,50,124,"['e_350', 'e_357']","['node_17', 'node_6', 'node_10']"
k_5,node_23,node_1,42,49,100,"['e_84', 'e_69', 'e_248', 'e_187']","['node_23', 'node_20', 'node_3', 'node_0', 'node_1']"
k_6,node_3,node_6,21,47,109,"['e_248', 'e_187', 'e_79', 'e_167', 'e_88']","['node_3', 'node_0', 'node_1', 'node_8', 'node_18', 'node_6']"
k_7,node_7,node_2,50,54,164,"['e_144', 'e_121']","['node_7', 'node_5', 'node_2']"
k_8,node_19,node_0,18,38,113,"['e_102', 'e_206', 'e_18', 'e_168']","['node_19', 'node_12', 'node_5', 'node_11', 'node_0']"
k_9,node_3,node_21,24,50,98,"['e_248', 'e_196']","['node_3', 'node_0', 'node_21']"
k_10,node_18,node_7,62,45,139,"['e_235', 'e_18', 'e_183']","['node_18', 'node_5', 'node_11', 'node_7']"
k_11,node_9,node_17,32,47,88,['e_322'],"['node_9', 'node_17']"
k_12,node_19,node_22,22,53,136,['e_253'],"['node_19', 'node_22']"
k_13,node_13,node_18,78,45,79,['e_321'],"['node_13', 'node_18']"
k_14,node_1,node_15,25,50,96,"['e_79', 'e_167', 'e_88', 'e_334']","['node_1', 'node_8', 'node_18', 'node_6', 'node_15']"
k_15,node_9,node_6,32,50,94,"['e_134', 'e_167', 'e_88']","['node_9', 'node_8', 'node_18', 'node_6']"
k_16,node_10,node_23,92,40,128,"['e_128', 'e_284', 'e_79', 'e_167', 'e_68']","['node_10', 'node_2', 'node_1', 'node_8', 'node_18', 'node_23']"
k_17,node_13,node_12,78,50,107,"['e_225', 'e_102']","['node_13', 'node_19', 'node_12']"
k_18,node_6,node_11,99,44,80,"['e_269', 'e_61']","['node_6', 'node_8', 'node_11']"
k_19,node_18,node_7,66,42,134,"['e_235', 'e_18', 'e_183']","['node_18', 'node_5', 'node_11', 'node_7']"
k_20,node_10,node_15,56,59,142,"['e_303', 'e_351', 'e_255', 'e_334']","['node_10', 'node_16', 'node_5', 'node_6', 'node_15']"
k_21,node_10,node_0,80,52,135,"['e_303', 'e_351', 'e_18', 'e_168']","['node_10', 'node_16', 'node_5', 'node_11', 'node_0']"
k_22,node_4,node_23,73,36,86,"['e_286', 'e_249']","['node_4', 'node_13', 'node_23']"
k_23,node_1,node_18,13,48,84,"['e_79', 'e_167']","['node_1', 'node_8', 'node_18']"
k_24,node_8,node_2,53,35,80,"['e_61', 'e_73']","['node_8', 'node_11', 'node_2']"
k_25,node_17,node_3,83,48,116,"['e_350', 'e_269', 'e_61', 'e_243', 'e_69']","['node_17', 'node_6', 'node_8', 'node_11', 'node_20', 'node_3']"
k_26,node_22,node_8,94,51,114,"['e_273', 'e_79']","['node_22', 'node_1', 'node_8']"
k_27,node_18,node_7,67,51,146,"['e_235', 'e_18', 'e_183']","['node_18', 'node_5', 'node_11', 'node_7']"
k_28,node_0,node_23,100,55,120,"['e_187', 'e_79', 'e_167', 'e_68']","['node_0', 'node_1', 'node_8', 'node_18', 'node_23']"
k_29,node_22,node_0,73,44,118,"['e_229', 'e_201', 'e_248']","['node_22', 'node_9', 'node_3', 'node_0']"
k_30,node_21,node_4,63,48,116,"['e_106', 'e_167', 'e_88', 'e_110']","['node_21', 'node_8', 'node_18', 'node_6', 'node_4']"
k_31,node_10,node_12,3,42,107,['e_181'],"['node_10', 'node_12']"
k_32,node_20,node_22,21,43,116,"['e_69', 'e_248', 'e_324']","['node_20', 'node_3', 'node_0', 'node_22']"
k_33,node_18,node_5,26,51,84,['e_235'],"['node_18', 'node_5']"
k_34,node_6,node_9,100,49,103,"['e_110', 'e_286', 'e_137']","['node_6', 'node_4', 'node_13', 'node_9']"
k_35,node_5,node_1,36,49,73,"['e_121', 'e_284']","['node_5', 'node_2', 'node_1']"
k_36,node_7,node_4,3,46,161,"['e_139', 'e_199', 'e_201', 'e_11']","['node_7', 'node_24', 'node_9', 'node_3', 'node_4']"
k_37,node_16,node_6,77,45,105,"['e_351', 'e_255']","['node_16', 'node_5', 'node_6']"
k_38,node_7,node_19,66,48,148,"['e_89', 'e_270']","['node_7', 'node_22', 'node_19']"
k_39,node_18,node_12,76,52,123,"['e_68', 'e_84', 'e_69', 'e_66', 'e_102']","['node_18', 'node_23', 'node_20', 'node_3', 'node_19', 'node_12']"
k_40,node_13,node_18,2,42,73,['e_321'],"['node_13', 'node_18']"
k_41,node_16,node_15,43,48,118,"['e_351', 'e_255', 'e_334']","['node_16', 'node_5', 'node_6', 'node_15']"
k_42,node_20,node_24,83,48,95,"['e_69', 'e_248', 'e_187', 'e_319']","['node_20', 'node_3', 'node_0', 'node_1', 'node_24']"
k_43,node_0,node_18,74,45,99,"['e_187', 'e_79', 'e_167']","['node_0', 'node_1', 'node_8', 'node_18']"
k_44,node_1,node_5,100,44,104,"['e_79', 'e_167', 'e_235']","['node_1', 'node_8', 'node_18', 'node_5']"
k_45,node_8,node_14,80,49,105,"['e_167', 'e_235', 'e_123']","['node_8', 'node_18', 'node_5', 'node_14']"
k_46,node_12,node_5,67,50,91,['e_206'],"['node_12', 'node_5']"
k_47,node_9,node_17,32,48,84,['e_322'],"['node_9', 'node_17']"
k_48,node_19,node_16,34,43,145,"['e_102', 'e_162', 'e_292']","['node_19', 'node_12', 'node_13', 'node_16']"
k_49,node_24,node_18,81,53,118,"['e_199', 'e_134', 'e_167']","['node_24', 'node_9', 'node_8', 'node_18']"
k_50,node_9,node_2,2,40,102,"['e_134', 'e_61', 'e_73']","['node_9', 'node_8', 'node_11', 'node_2']"
k_51,node_5,node_2,29,46,61,['e_121'],"['node_5', 'node_2']"
k_52,node_24,node_11,73,53,118,"['e_199', 'e_134', 'e_61']","['node_24', 'node_9', 'node_8', 'node_11']"
k_53,node_18,node_5,77,41,75,['e_235'],"['node_18', 'node_5']"
k_54,node_8,node_13,4,50,120,"['e_167', 'e_88', 'e_110', 'e_286']","['node_8', 'node_18', 'node_6', 'node_4', 'node_13']"
k_55,node_2,node_8,52,41,72,"['e_284', 'e_79']","['node_2', 'node_1', 'node_8']"
k_56,node_21,node_14,71,48,102,['e_19'],"['node_21', 'node_14']"
k_57,node_10,node_18,44,40,119,"['e_128', 'e_284', 'e_79', 'e_167']","['node_10', 'node_2', 'node_1', 'node_8', 'node_18']"
k_58,node_16,node_13,37,44,125,"['e_222', 'e_282']","['node_16', 'node_24', 'node_13']"
k_59,node_8,node_3,28,44,98,"['e_61', 'e_243', 'e_69']","['node_8', 'node_11', 'node_20', 'node_3']"
k_60,node_11,node_23,46,43,119,"['e_243', 'e_69', 'e_11', 'e_286', 'e_249']","['node_11', 'node_20', 'node_3', 'node_4', 'node_13', 'node_23']"
k_61,node_19,node_5,56,45,108,"['e_102', 'e_206']","['node_19', 'node_12', 'node_5']"
k_62,node_19,node_16,40,49,152,"['e_102', 'e_162', 'e_292']","['node_19', 'node_12', 'node_13', 'node_16']"
k_63,node_5,node_21,40,45,78,"['e_121', 'e_114']","['node_5', 'node_2', 'node_21']"
k_64,node_14,node_5,9,37,133,"['e_216', 'e_284', 'e_79', 'e_167', 'e_235']","['node_14', 'node_2', 'node_1', 'node_8', 'node_18', 'node_5']"
k_65,node_9,node_8,61,48,78,['e_134'],"['node_9', 'node_8']"
k_66,node_18,node_1,42,49,102,"['e_235', 'e_121', 'e_284']","['node_18', 'node_5', 'node_2', 'node_1']"
k_67,node_24,node_18,13,46,118,"['e_199', 'e_134', 'e_167']","['node_24', 'node_9', 'node_8', 'node_18']"
k_68,node_16,node_17,94,49,129,"['e_222', 'e_199', 'e_322']","['node_16', 'node_24', 'node_9', 'node_17']"
k_69,node_22,node_2,54,35,102,"['e_270', 'e_102', 'e_206', 'e_121']","['node_22', 'node_19', 'node_12', 'node_5', 'node_2']"
k_70,node_14,node_9,5,45,134,"['e_216', 'e_284', 'e_319', 'e_199']","['node_14', 'node_2', 'node_1', 'node_24', 'node_9']"
k_71,node_10,node_13,94,50,144,"['e_303', 'e_222', 'e_282']","['node_10', 'node_16', 'node_24', 'node_13']"
k_72,node_2,node_18,27,38,85,"['e_284', 'e_79', 'e_167']","['node_2', 'node_1', 'node_8', 'node_18']"
k_73,node_5,node_7,35,46,122,"['e_18', 'e_183']","['node_5', 'node_11', 'node_7']"
k_74,node_3,node_4,36,48,76,['e_11'],"['node_3', 'node_4']"
k_75,node_5,node_0,62,50,82,"['e_18', 'e_168']","['node_5', 'node_11', 'node_0']"
k_76,node_21,node_1,16,47,121,"['e_120', 'e_187']","['node_21', 'node_0', 'node_1']"
k_77,node_7,node_10,91,44,147,['e_212'],"['node_7', 'node_10']"
k_78,node_10,node_18,74,40,124,"['e_128', 'e_284', 'e_79', 'e_167']","['node_10', 'node_2', 'node_1', 'node_8', 'node_18']"
k_79,node_22,node_5,55,41,115,"['e_270', 'e_102', 'e_206']","['node_22', 'node_19', 'node_12', 'node_5']"
k_80,node_11,node_4,66,48,87,"['e_243', 'e_69', 'e_11']","['node_11', 'node_20', 'node_3', 'node_4']"
k_81,node_4,node_10,58,44,108,"['e_286', 'e_249', 'e_34']","['node_4', 'node_13', 'node_23', 'node_10']"
k_82,node_14,node_13,56,44,138,"['e_331', 'e_286']","['node_14', 'node_4', 'node_13']"
k_83,node_11,node_17,17,49,119,"['e_251', 'e_322']","['node_11', 'node_9', 'node_17']"
k_84,node_1,node_12,27,45,120,"['e_221', 'e_66', 'e_102']","['node_1', 'node_3', 'node_19', 'node_12']"
k_85,node_19,node_20,33,47,126,"['e_102', 'e_206', 'e_18', 'e_243']","['node_19', 'node_12', 'node_5', 'node_11', 'node_20']"
k_86,node_5,node_11,66,44,62,['e_18'],"['node_5', 'node_11']"
k_87,node_4,node_3,41,43,90,"['e_286', 'e_59', 'e_69']","['node_4', 'node_13', 'node_20', 'node_3']"
k_88,node_18,node_24,44,41,77,"['e_68', 'e_353']","['node_18', 'node_23', 'node_24']"
k_89,node_7,node_11,4,44,153,"['e_144', 'e_18']","['node_7', 'node_5', 'node_11']"
k_90,node_21,node_13,15,51,143,"['e_106', 'e_167', 'e_88', 'e_110', 'e_286']","['node_21', 'node_8', 'node_18', 'node_6', 'node_4', 'node_13']"
k_91,node_21,node_1,17,49,130,"['e_120', 'e_187']","['node_21', 'node_0', 'node_1']"
k_92,node_13,node_23,50,49,71,['e_249'],"['node_13', 'node_23']"
k_93,node_22,node_7,98,52,149,"['e_270', 'e_182']","['node_22', 'node_19', 'node_7']"
k_94,node_2,node_14,96,44,95,['e_29'],"['node_2', 'node_14']"
k_95,node_14,node_12,49,57,173,"['e_216', 'e_284', 'e_221', 'e_66', 'e_102']","['node_14', 'node_2', 'node_1', 'node_3', 'node_19', 'node_12']"
k_96,node_6,node_21,52,48,103,"['e_269', 'e_61', 'e_243', 'e_240']","['node_6', 'node_8', 'node_11', 'node_20', 'node_21']"
k_97,node_8,node_18,75,44,74,['e_167'],"['node_8', 'node_18']"
k_98,node_2,node_23,80,42,101,"['e_284', 'e_79', 'e_167', 'e_68']","['node_2', 'node_1', 'node_8', 'node_18', 'node_23']"
k_99,node_4,node_3,75,41,94,"['e_286', 'e_59', 'e_69']","['node_4', 'node_13', 'node_20', 'node_3']"
k_100,node_13,node_15,4,42,75,['e_136'],"['node_13', 'node_15']"
k_101,node_10,node_16,80,48,81,['e_303'],"['node_10', 'node_16']"
k_102,node_3,node_12,18,53,105,"['e_66', 'e_102']","['node_3', 'node_19', 'node_12']"
k_103,node_14,node_0,51,48,132,"['e_216', 'e_284', 'e_79', 'e_61', 'e_168']","['node_14', 'node_2', 'node_1', 'node_8', 'node_11', 'node_0']"
k_104,node_10,node_4,5,49,119,"['e_128', 'e_284', 'e_208']","['node_10', 'node_2', 'node_1', 'node_4']"
k_105,node_17,node_22,94,47,126,"['e_350', 'e_269', 'e_254']","['node_17', 'node_6', 'node_8', 'node_22']"
k_106,node_14,node_20,73,40,127,"['e_216', 'e_284', 'e_79', 'e_61', 'e_243']","['node_14', 'node_2', 'node_1', 'node_8', 'node_11', 'node_20']"
k_107,node_14,node_24,92,44,113,"['e_216', 'e_284', 'e_319']","['node_14', 'node_2', 'node_1', 'node_24']"
k_108,node_10,node_3,41,51,134,"['e_128', 'e_284', 'e_221']","['node_10', 'node_2', 'node_1', 'node_3']"
k_109,node_22,node_8,67,60,122,"['e_273', 'e_79']","['node_22', 'node_1', 'node_8']"
k_110,node_12,node_13,33,49,128,['e_162'],"['node_12', 'node_13']"
k_111,node_17,node_13,17,47,116,"['e_350', 'e_110', 'e_286']","['node_17', 'node_6', 'node_4', 'node_13']"
k_112,node_16,node_17,27,44,125,"['e_222', 'e_199', 'e_322']","['node_16', 'node_24', 'node_9', 'node_17']"
k_113,node_16,node_1,96,47,114,"['e_351', 'e_121', 'e_284']","['node_16', 'node_5', 'node_2', 'node_1']"
k_114,node_7,node_22,30,47,143,['e_89'],"['node_7', 'node_22']"
k_115,node_4,node_5,22,46,100,['e_117'],"['node_4', 'node_5']"
k_116,node_6,node_21,89,40,94,"['e_269', 'e_61', 'e_243', 'e_240']","['node_6', 'node_8', 'node_11', 'node_20', 'node_21']"
k_117,node_20,node_7,73,45,142,"['e_240', 'e_355']","['node_20', 'node_21', 'node_7']"
k_118,node_15,node_17,71,52,151,"['e_0', 'e_137', 'e_322']","['node_15', 'node_13', 'node_9', 'node_17']"
k_119,node_7,node_11,34,48,159,"['e_144', 'e_18']","['node_7', 'node_5', 'node_11']"
k_120,node_13,node_15,6,53,89,['e_136'],"['node_13', 'node_15']"
k_121,node_6,node_14,38,55,87,"['e_110', 'e_339']","['node_6', 'node_4', 'node_14']"
k_122,node_5,node_24,66,47,84,"['e_121', 'e_284', 'e_319']","['node_5', 'node_2', 'node_1', 'node_24']"
k_123,node_1,node_3,51,44,89,['e_221'],"['node_1', 'node_3']"
k_124,node_9,node_1,34,40,90,"['e_201', 'e_248', 'e_187']","['node_9', 'node_3', 'node_0', 'node_1']"
k_125,node_16,node_3,95,57,114,"['e_222', 'e_199', 'e_201']","['node_16', 'node_24', 'node_9', 'node_3']"
k_126,node_11,node_18,23,41,101,"['e_73', 'e_284', 'e_79', 'e_167']","['node_11', 'node_2', 'node_1', 'node_8', 'node_18']"
k_127,node_21,node_0,71,41,104,['e_120'],"['node_21', 'node_0']"
k_128,node_23,node_22,35,42,126,"['e_84', 'e_69', 'e_248', 'e_324']","['node_23', 'node_20', 'node_3', 'node_0', 'node_22']"
k_129,node_14,node_24,34,52,120,"['e_216', 'e_284', 'e_319']","['node_14', 'node_2', 'node_1', 'node_24']"
k_130,node_6,node_14,96,45,87,"['e_110', 'e_339']","['node_6', 'node_4', 'node_14']"
k_131,node_7,node_23,29,47,168,"['e_139', 'e_7']","['node_7', 'node_24', 'node_23']"
k_132,node_8,node_7,50,45,132,"['e_61', 'e_183']","['node_8', 'node_11', 'node_7']"
k_133,node_10,node_8,88,51,110,"['e_128', 'e_284', 'e_79']","['node_10', 'node_2', 'node_1', 'node_8']"
k_134,node_1,node_10,16,48,114,"['e_79', 'e_167', 'e_68', 'e_34']","['node_1', 'node_8', 'node_18', 'node_23', 'node_10']"
k_135,node_16,node_11,29,47,102,"['e_351', 'e_18']","['node_16', 'node_5', 'node_11']"
k_136,node_18,node_4,55,56,83,"['e_88', 'e_110']","['node_18', 'node_6', 'node_4']"
k_137,node_18,node_5,66,45,78,['e_235'],"['node_18', 'node_5']"
k_138,node_16,node_3,87,51,123,"['e_222', 'e_199', 'e_201']","['node_16', 'node_24', 'node_9', 'node_3']"
k_139,node_16,node_2,54,41,97,"['e_351', 'e_121']","['node_16', 'node_5', 'node_2']"
k_140,node_8,node_6,12,52,90,"['e_167', 'e_88']","['node_8', 'node_18', 'node_6']"
k_141,node_14,node_20,28,47,135,"['e_216', 'e_284', 'e_79', 'e_61', 'e_243']","['node_14', 'node_2', 'node_1', 'node_8', 'node_11', 'node_20']"
k_142,node_16,node_18,91,41,123,"['e_351', 'e_255', 'e_269', 'e_167']","['node_16', 'node_5', 'node_6', 'node_8', 'node_18']"
k_143,node_9,node_23,42,54,105,"['e_134', 'e_167', 'e_68']","['node_9', 'node_8', 'node_18', 'node_23']"
k_144,node_24,node_0,75,36,93,"['e_199', 'e_201', 'e_248']","['node_24', 'node_9', 'node_3', 'node_0']"
k_145,node_10,node_1,68,55,115,"['e_128', 'e_284']","['node_10', 'node_2', 'node_1']"
k_146,node_24,node_22,70,47,146,"['e_199', 'e_134', 'e_254']","['node_24', 'node_9', 'node_8', 'node_22']"
k_147,node_15,node_10,68,43,111,['e_184'],"['node_15', 'node_10']"
k_148,node_9,node_24,35,55,77,['e_330'],"['node_9', 'node_24']"
k_149,node_8,node_3,15,44,91,"['e_61', 'e_243', 'e_69']","['node_8', 'node_11', 'node_20', 'node_3']"
k_150,node_17,node_4,2,41,82,"['e_350', 'e_110']","['node_17', 'node_6', 'node_4']"
k_151,node_8,node_3,87,58,102,"['e_61', 'e_243', 'e_69']","['node_8', 'node_11', 'node_20', 'node_3']"
k_152,node_4,node_22,71,53,149,"['e_70', 'e_254']","['node_4', 'node_8', 'node_22']"
k_153,node_22,node_20,61,42,128,"['e_270', 'e_102', 'e_206', 'e_18', 'e_243']","['node_22', 'node_19', 'node_12', 'node_5', 'node_11', 'node_20']"
k_154,node_6,node_3,81,57,106,"['e_269', 'e_61', 'e_243', 'e_69']","['node_6', 'node_8', 'node_11', 'node_20', 'node_3']"
k_155,node_5,node_8,7,47,74,"['e_255', 'e_269']","['node_5', 'node_6', 'node_8']"
k_156,node_14,node_6,49,47,122,"['e_216', 'e_284', 'e_79', 'e_167', 'e_88']","['node_14', 'node_2', 'node_1', 'node_8', 'node_18', 'node_6']"
k_157,node_6,node_18,88,37,70,"['e_269', 'e_167']","['node_6', 'node_8', 'node_18']"
k_158,node_6,node_22,93,49,111,"['e_269', 'e_254']","['node_6', 'node_8', 'node_22']"
k_159,node_1,node_5,65,40,97,"['e_79', 'e_167', 'e_235']","['node_1', 'node_8', 'node_18', 'node_5']"
k_160,node_10,node_5,38,51,120,"['e_303', 'e_351']","['node_10', 'node_16', 'node_5']"
k_161,node_0,node_23,61,45,112,"['e_187', 'e_79', 'e_167', 'e_68']","['node_0', 'node_1', 'node_8', 'node_18', 'node_23']"
