commodity,e_0,e_1,e_10,e_100,e_101,e_102,e_103,e_104,e_105,e_106,e_107,e_108,e_109,e_11,e_110,e_111,e_112,e_113,e_114,e_115,e_116,e_117,e_118,e_119,e_12,e_120,e_121,e_122,e_123,e_124,e_125,e_126,e_127,e_128,e_129,e_13,e_130,e_131,e_132,e_133,e_134,e_135,e_136,e_137,e_138,e_139,e_14,e_140,e_141,e_142,e_143,e_144,e_145,e_146,e_147,e_148,e_149,e_15,e_150,e_151,e_152,e_153,e_154,e_155,e_156,e_157,e_158,e_159,e_16,e_160,e_161,e_162,e_163,e_164,e_165,e_166,e_167,e_168,e_169,e_17,e_170,e_171,e_172,e_173,e_174,e_175,e_176,e_177,e_178,e_179,e_18,e_180,e_181,e_182,e_183,e_184,e_185,e_186,e_187,e_188,e_189,e_19,e_190,e_191,e_192,e_193,e_194,e_195,e_196,e_197,e_198,e_199,e_2,e_20,e_200,e_201,e_202,e_203,e_204,e_205,e_206,e_207,e_208,e_209,e_21,e_210,e_211,e_212,e_213,e_214,e_215,e_216,e_217,e_218,e_219,e_22,e_220,e_221,e_222,e_223,e_224,e_225,e_226,e_227,e_228,e_229,e_23,e_230,e_231,e_232,e_233,e_234,e_235,e_236,e_237,e_238,e_239,e_24,e_240,e_241,e_242,e_243,e_244,e_245,e_246,e_247,e_248,e_249,e_25,e_250,e_251,e_252,e_253,e_254,e_255,e_256,e_257,e_258,e_259,e_26,e_260,e_261,e_262,e_263,e_264,e_265,e_266,e_267,e_268,e_269,e_27,e_270,e_271,e_272,e_273,e_274,e_275,e_276,e_277,e_278,e_279,e_28,e_280,e_281,e_282,e_283,e_284,e_285,e_286,e_287,e_288,e_289,e_29,e_290,e_291,e_292,e_293,e_294,e_295,e_296,e_297,e_298,e_299,e_3,e_30,e_300,e_301,e_302,e_303,e_304,e_305,e_306,e_307,e_308,e_309,e_31,e_310,e_311,e_312,e_313,e_314,e_315,e_316,e_317,e_318,e_319,e_32,e_320,e_321,e_322,e_323,e_324,e_325,e_326,e_327,e_328,e_329,e_33,e_330,e_331,e_332,e_333,e_334,e_335,e_336,e_337,e_338,e_339,e_34,e_340,e_341,e_342,e_343,e_344,e_345,e_346,e_347,e_348,e_349,e_35,e_350,e_351,e_352,e_353,e_354,e_355,e_356,e_357,e_358,e_359,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94,e_95,e_96,e_97,e_98,e_99
k_0,23,79,29,65,32,57,2,91,91,97,26,65,72,92,48,29,31,39,64,66,29,2,5,34,18,25,35,78,85,63,5,41,95,61,94,87,99,83,52,89,10,56,84,44,66,11,86,97,7,56,68,67,31,32,1,54,9,47,68,20,37,34,31,46,53,27,78,11,1,14,41,38,61,85,93,41,63,16,46,71,71,42,76,2,14,85,96,20,51,77,46,17,96,7,9,40,92,56,25,25,1,71,9,76,27,19,43,16,44,46,95,18,76,100,79,89,49,37,42,49,5,88,33,71,6,37,76,49,95,91,70,84,2,43,18,22,60,54,1,88,45,37,73,11,51,18,12,98,79,83,73,35,62,75,17,15,22,92,56,84,88,7,8,76,89,38,76,100,98,2,61,88,79,64,23,27,18,15,83,14,37,91,68,46,6,5,41,80,4,13,81,30,60,35,61,57,77,96,6,26,22,62,24,18,31,4,6,18,87,74,27,70,48,30,97,61,58,91,10,1,83,22,96,37,62,87,9,23,96,58,43,51,79,66,48,6,43,5,82,53,75,95,5,32,16,93,74,61,1,73,82,53,27,30,28,96,100,32,98,12,50,7,57,100,78,82,66,99,17,20,26,34,2,22,1,39,61,56,41,61,40,33,97,41,23,13,24,58,87,3,39,22,9,29,29,57,43,94,63,13,13,40,22,88,93,62,1,54,95,21,36,14,30,12,87,30,41,19,38,29,24,71,93,47,50,96,98,89,35,99,84,88,88,80,10,53,24,96,73,5,45,10,60,79,72,89,97,70,86,24,23,13,8,80,12,99,51,63,44,89
k_1,44,76,58,1,81,47,51,88,91,1,88,70,46,84,66,35,96,2,18,69,14,84,40,50,24,69,89,31,62,56,41,83,48,28,50,43,54,8,4,68,98,80,77,60,54,66,91,2,92,33,62,62,80,48,41,25,1,72,25,56,95,84,53,74,41,78,32,95,81,9,72,17,93,38,88,58,53,7,99,19,41,58,16,34,6,48,72,43,68,56,100,98,74,64,55,12,7,63,2,88,17,20,55,43,72,29,36,89,13,52,56,72,68,39,41,55,52,82,6,62,34,84,59,92,94,94,39,39,6,14,35,13,61,84,68,79,61,28,87,97,25,65,49,7,35,29,49,88,30,3,6,58,61,81,66,38,83,3,47,7,7,46,45,26,91,30,48,51,95,49,1,40,3,84,95,51,15,25,88,93,63,2,86,81,21,94,15,71,17,78,45,51,67,95,70,27,36,20,73,32,10,23,27,22,28,98,84,51,21,90,76,7,22,6,20,70,19,43,82,40,48,50,71,100,9,94,30,29,54,49,28,54,72,95,80,90,90,85,14,56,40,79,88,48,41,12,58,22,69,71,33,56,85,46,57,75,43,83,96,22,45,82,14,36,13,23,5,61,33,52,88,17,63,45,56,73,97,9,16,49,54,45,7,96,93,84,90,4,21,71,65,13,78,90,10,63,16,16,4,89,27,60,64,38,97,17,95,57,89,33,14,66,95,44,50,17,92,47,46,14,21,91,63,65,77,20,56,12,29,51,44,23,65,3,64,62,23,59,74,18,84,99,55,95,28,67,13,40,63,53,100,48,96,58,71,8,51,9,69,94
k_2,61,44,27,96,39,33,1,43,71,48,54,43,71,46,27,50,78,53,22,16,18,80,23,15,2,59,80,69,95,31,51,68,47,47,44,52,39,3,56,6,13,71,23,88,74,73,90,77,37,76,38,78,32,73,76,88,28,16,6,38,10,66,38,18,77,48,29,12,65,71,69,61,9,62,99,45,16,29,43,39,36,56,43,33,44,63,33,45,70,84,96,77,75,27,25,52,84,85,26,33,60,95,100,37,90,92,30,44,21,46,7,68,86,91,45,27,7,4,27,61,4,66,99,30,58,55,34,94,99,95,18,11,58,91,6,1,98,85,2,63,55,57,97,80,82,93,63,46,68,83,32,48,11,13,98,9,70,20,10,56,35,49,27,52,40,47,17,37,35,76,76,71,68,20,55,32,48,93,72,59,59,22,7,95,44,8,39,2,75,27,28,35,65,71,62,88,59,5,66,57,74,12,75,96,83,32,73,47,89,67,52,39,24,73,73,72,82,11,80,25,31,81,48,17,15,12,17,68,16,81,2,57,3,38,92,18,73,35,48,50,7,64,21,64,49,87,38,98,43,6,71,20,9,60,26,64,13,43,68,68,35,3,7,75,93,24,81,96,63,44,42,83,100,46,33,71,40,72,97,51,4,40,71,38,52,27,43,16,29,58,64,57,62,97,89,7,2,94,28,32,76,50,76,45,62,98,60,85,80,75,51,38,92,8,32,91,17,40,16,14,93,94,62,7,94,25,82,90,61,19,14,56,66,11,30,47,99,1,39,59,32,60,26,52,38,81,52,41,68,80,66,16,91,20,19,4,89,93,86,18
k_3,34,44,1,89,49,73,1,43,21,6,58,19,77,36,66,76,92,78,88,46,5,62,26,11,26,81,57,22,78,94,96,40,19,51,21,24,91,79,24,72,14,26,43,56,67,35,77,46,2,24,55,45,57,100,31,41,91,10,61,14,37,16,22,46,87,1,18,8,74,77,16,75,72,48,71,96,36,86,26,86,91,44,74,2,45,28,32,86,56,43,90,33,89,81,87,78,53,34,35,11,84,64,97,78,40,84,66,24,23,20,63,66,29,15,15,99,56,99,61,20,20,52,95,57,37,42,84,29,76,39,29,60,50,39,23,18,32,65,77,6,89,30,14,87,22,95,91,54,82,84,60,98,2,95,63,80,29,91,29,90,60,52,91,49,44,9,82,29,78,38,5,37,69,20,26,80,64,66,45,60,98,56,15,79,27,97,67,58,60,80,12,98,55,58,11,45,74,36,94,23,92,38,36,15,5,64,14,94,97,42,74,20,66,14,7,18,50,27,67,27,19,19,84,41,18,18,96,58,99,62,26,97,75,90,10,61,27,55,20,52,51,17,95,41,1,73,47,76,57,60,11,3,90,15,33,17,25,93,86,91,96,7,12,21,74,30,37,9,73,21,53,23,74,94,10,36,98,12,11,39,26,18,52,82,45,4,50,52,45,27,80,16,4,91,47,1,70,7,56,26,42,1,20,22,93,46,69,74,42,21,43,56,11,53,80,52,16,71,25,98,5,42,26,7,89,95,46,20,60,59,56,74,48,26,2,87,18,1,87,62,16,4,85,7,30,68,65,7,41,43,66,14,89,73,91,35,58,33,52,45
k_4,9,98,60,34,89,23,16,61,65,10,40,25,90,21,74,40,11,67,95,45,88,37,49,23,94,11,69,11,74,87,98,36,94,86,8,91,38,4,13,12,74,9,73,86,26,34,100,95,18,75,5,93,3,48,38,60,67,56,18,14,9,9,17,73,13,21,64,57,11,56,78,58,1,59,80,65,86,52,83,33,26,33,34,25,64,1,77,86,100,73,43,84,77,64,48,60,85,69,91,19,10,87,87,17,92,84,46,92,54,52,92,13,21,77,64,31,15,12,44,15,42,80,11,68,7,93,61,1,10,48,76,12,21,69,5,78,6,39,69,7,19,2,36,43,70,66,37,88,73,36,2,48,40,63,1,31,84,33,48,46,85,56,23,44,13,84,14,99,68,70,78,55,40,34,16,2,68,63,74,97,62,42,49,24,13,81,23,17,47,96,29,6,4,20,17,57,34,52,49,99,81,15,59,61,97,36,44,6,61,27,16,67,87,46,26,26,71,57,66,96,94,76,91,8,50,92,77,19,19,36,95,48,47,11,97,98,34,94,50,11,12,1,95,45,86,36,4,35,6,45,2,54,91,18,85,40,19,89,27,61,2,2,28,77,38,95,79,31,44,40,12,96,81,95,47,88,46,92,95,51,8,55,95,77,30,48,68,12,58,7,12,95,13,5,63,5,88,38,27,16,63,40,95,63,99,33,42,89,53,58,56,31,28,14,9,99,44,78,28,70,38,42,90,69,72,53,19,9,16,100,53,44,35,74,79,39,39,4,69,25,36,57,44,85,25,70,4,56,29,55,91,78,10,82,22,18,69,74,76,86
k_5,61,25,68,31,46,68,64,2,48,64,76,10,94,77,69,96,43,64,90,88,15,32,69,65,47,74,87,57,58,89,45,8,48,77,19,21,83,75,75,12,12,53,93,24,84,6,83,6,78,8,81,80,1,78,3,92,48,72,25,7,25,72,6,32,93,42,9,87,38,100,40,48,38,83,89,75,41,23,58,21,74,79,53,17,100,64,22,6,10,67,82,85,3,1,56,48,57,72,20,31,57,25,73,34,32,6,4,52,27,52,14,32,7,39,3,12,98,22,83,61,81,100,24,22,19,49,81,100,94,45,27,32,53,15,94,37,8,33,56,81,27,100,6,97,67,21,30,100,78,62,36,7,20,70,90,36,22,13,60,17,14,98,30,46,97,5,63,34,29,6,90,51,55,51,63,10,55,50,30,71,98,15,69,65,46,36,9,44,7,28,7,67,45,8,47,78,27,78,63,58,15,84,67,99,31,3,45,1,33,49,87,11,76,99,22,95,26,87,97,20,21,69,97,78,46,59,13,19,15,1,66,97,45,27,44,81,41,33,44,79,1,42,68,83,74,24,32,63,31,35,26,18,88,42,25,35,88,66,11,95,97,18,87,11,54,91,87,62,81,50,89,36,24,42,75,42,17,98,30,45,4,70,12,62,51,97,19,89,54,86,75,84,80,89,54,13,86,7,73,73,38,58,29,66,69,24,30,48,100,89,69,45,82,68,98,41,33,94,19,56,12,82,74,34,23,85,12,11,84,76,70,12,85,24,19,29,89,50,16,13,53,70,40,68,31,89,71,32,80,17,27,81,94,57,95,10,15,23,18,18
k_6,56,11,6,73,80,4,94,87,92,67,6,37,97,60,53,49,17,26,11,23,85,99,45,34,78,79,72,33,60,89,62,52,9,100,36,66,97,95,63,49,54,61,69,35,4,72,93,9,9,43,94,8,16,77,28,63,59,79,54,9,70,45,59,8,24,1,95,62,62,59,31,73,66,90,3,37,6,61,11,57,86,30,60,73,3,41,86,24,45,58,30,24,26,92,3,63,23,63,92,76,13,49,93,44,23,85,86,39,23,60,79,37,39,81,76,85,24,93,94,43,52,4,55,71,73,67,77,88,11,33,10,59,41,43,88,87,91,27,8,76,43,73,57,96,37,15,54,74,63,32,23,32,45,50,65,78,78,79,4,12,88,99,54,100,12,79,82,70,20,48,71,37,17,48,83,83,79,35,60,11,69,49,10,85,41,37,46,80,43,9,94,13,5,43,35,74,98,41,24,73,67,79,46,62,76,53,96,12,74,66,53,12,82,32,6,15,75,49,26,92,60,71,90,11,48,37,28,49,23,62,13,41,94,47,26,54,75,11,73,48,88,96,2,2,52,53,68,84,12,71,7,54,47,28,59,76,83,68,49,80,5,29,28,5,23,29,7,12,85,38,14,3,5,23,79,16,21,58,16,95,20,13,12,73,59,22,55,53,82,41,62,26,84,50,56,34,66,70,98,22,10,96,44,61,47,47,18,2,93,87,55,31,98,93,65,21,66,41,94,99,57,83,69,91,91,27,8,28,29,57,84,15,46,19,10,98,20,49,96,68,21,5,85,58,37,76,41,29,66,5,11,23,21,49,45,88,36,47,13,18
k_7,85,3,53,5,13,81,75,4,28,84,41,37,23,3,55,8,29,43,11,73,18,5,17,68,36,68,18,30,21,21,81,69,83,67,1,100,80,77,34,29,53,30,61,83,28,25,11,13,85,38,66,75,1,45,86,63,32,15,88,98,40,78,65,97,53,84,24,31,6,64,74,42,35,30,11,13,77,68,78,96,76,73,58,63,58,88,34,15,3,83,19,61,49,83,21,19,14,21,17,50,14,46,10,68,75,61,81,13,98,10,5,19,58,70,93,25,38,66,57,11,36,25,42,72,4,48,8,91,28,95,5,21,84,73,29,54,4,90,98,50,33,8,76,62,63,70,4,91,23,99,82,60,10,54,39,3,89,64,92,49,4,85,11,50,57,19,98,87,71,96,69,25,78,34,20,44,88,45,80,2,54,48,79,79,78,63,35,35,61,92,44,63,90,85,78,2,32,64,54,76,11,60,82,82,18,92,78,32,30,64,77,75,33,20,13,59,44,83,89,84,96,70,17,5,8,28,49,44,70,97,28,76,27,91,17,54,20,50,66,5,55,20,76,75,70,13,4,100,6,74,15,2,52,86,81,81,7,20,14,21,16,34,84,66,5,32,32,65,14,41,76,89,70,21,41,74,15,48,35,70,90,37,16,70,82,38,45,61,88,7,80,36,40,64,59,25,58,41,8,86,18,47,35,17,95,98,86,68,84,82,6,11,63,44,57,67,63,59,65,40,34,39,67,96,16,10,9,22,10,22,67,28,38,50,31,92,87,99,13,24,45,67,48,65,56,45,76,82,24,21,87,86,41,75,6,78,41,47,7,97
k_8,25,78,53,6,52,39,67,71,31,19,24,61,1,73,27,38,58,71,43,6,96,47,17,1,97,47,12,35,94,13,30,89,43,72,69,80,70,66,44,98,30,88,36,77,51,99,68,78,94,8,82,16,19,48,2,68,7,95,15,93,43,74,13,61,75,93,59,45,8,9,67,66,54,50,11,5,67,56,97,67,61,12,85,26,39,77,27,32,3,48,76,34,13,82,19,43,71,25,10,76,1,83,58,96,5,7,29,28,44,99,32,30,60,59,66,29,100,47,87,50,27,32,83,13,82,3,93,97,26,85,2,1,66,24,55,19,35,32,70,18,79,87,3,73,3,8,15,3,2,28,70,70,34,97,94,88,39,19,71,22,46,79,73,34,27,89,14,72,99,43,26,15,57,81,75,25,96,96,86,80,45,84,88,31,75,63,52,29,29,62,99,59,96,57,72,20,57,56,37,18,84,34,51,27,59,65,34,71,47,78,53,56,90,80,93,76,14,26,69,16,6,84,86,4,36,83,57,53,64,46,40,9,94,85,71,35,30,55,73,16,92,37,90,86,22,54,24,51,51,48,67,98,23,61,26,88,2,53,59,44,39,76,68,85,5,61,43,39,53,83,21,13,16,39,7,7,18,74,44,17,76,31,40,80,8,5,78,60,88,42,36,58,64,99,72,39,9,12,83,8,28,44,96,26,75,59,29,10,45,13,96,39,5,29,69,71,54,18,90,57,37,43,3,48,88,35,20,50,55,60,7,89,32,2,87,14,96,48,10,65,44,30,32,24,45,16,87,62,82,58,71,30,74,97,97,95,98,36,40,58
k_9,4,42,34,70,17,90,28,49,58,52,82,4,43,4,83,45,74,66,21,84,46,47,36,62,85,13,99,84,75,93,87,47,56,16,33,47,30,42,5,88,78,2,41,82,31,40,28,9,82,57,37,13,44,20,70,70,25,81,26,60,61,39,96,92,83,74,1,36,6,88,64,64,92,88,54,31,56,85,69,58,94,68,2,55,8,52,34,10,67,52,24,40,5,61,11,6,27,70,52,72,54,4,13,55,16,3,6,83,67,5,96,88,28,54,11,54,38,70,86,3,55,97,95,100,67,28,5,22,35,84,17,40,69,38,41,89,24,35,75,85,77,80,35,13,18,19,71,81,88,75,24,28,77,95,48,14,14,81,39,1,20,64,23,70,76,90,80,24,70,24,77,91,13,86,45,18,30,20,26,51,19,13,57,84,34,96,92,4,80,93,46,65,85,31,94,42,37,52,45,25,37,98,16,7,90,13,79,40,79,29,34,48,87,2,86,13,21,33,66,1,86,20,82,33,55,11,15,16,40,53,83,86,52,21,73,95,96,8,87,91,19,85,35,17,26,67,18,26,66,35,57,76,65,91,10,4,84,57,84,42,11,18,22,49,81,86,8,100,96,97,71,82,20,55,19,23,25,7,90,62,68,60,71,7,45,87,8,25,17,59,18,21,91,63,14,31,15,72,100,26,39,32,77,3,84,73,36,24,34,53,93,84,11,67,6,65,93,82,41,82,29,94,18,70,45,52,7,47,83,34,21,56,78,39,55,1,24,98,62,54,71,94,12,76,50,69,70,55,81,44,51,40,1,16,46,73,92,67,5,86
