commodity,e_0,e_1,e_10,e_100,e_101,e_102,e_103,e_104,e_105,e_106,e_107,e_108,e_109,e_11,e_110,e_111,e_112,e_113,e_114,e_115,e_116,e_117,e_118,e_119,e_12,e_120,e_121,e_122,e_123,e_124,e_125,e_126,e_127,e_128,e_129,e_13,e_130,e_131,e_132,e_133,e_134,e_135,e_136,e_137,e_138,e_139,e_14,e_140,e_141,e_142,e_143,e_144,e_145,e_146,e_147,e_148,e_149,e_15,e_150,e_151,e_152,e_153,e_154,e_155,e_156,e_157,e_158,e_159,e_16,e_160,e_161,e_162,e_163,e_164,e_165,e_166,e_167,e_168,e_169,e_17,e_170,e_171,e_172,e_173,e_174,e_175,e_176,e_177,e_178,e_179,e_18,e_180,e_181,e_182,e_183,e_184,e_185,e_186,e_187,e_188,e_189,e_19,e_190,e_191,e_192,e_193,e_194,e_195,e_196,e_197,e_198,e_199,e_2,e_20,e_200,e_201,e_202,e_203,e_204,e_205,e_206,e_207,e_208,e_209,e_21,e_210,e_211,e_212,e_213,e_214,e_215,e_216,e_217,e_218,e_219,e_22,e_220,e_221,e_222,e_223,e_224,e_225,e_226,e_227,e_228,e_229,e_23,e_230,e_231,e_232,e_233,e_234,e_235,e_236,e_237,e_238,e_239,e_24,e_240,e_241,e_242,e_243,e_244,e_245,e_246,e_247,e_248,e_249,e_25,e_250,e_251,e_252,e_253,e_254,e_255,e_256,e_257,e_258,e_259,e_26,e_260,e_261,e_262,e_263,e_264,e_265,e_266,e_267,e_268,e_269,e_27,e_270,e_271,e_272,e_273,e_274,e_275,e_276,e_277,e_278,e_279,e_28,e_280,e_281,e_282,e_283,e_284,e_285,e_286,e_287,e_288,e_289,e_29,e_290,e_291,e_292,e_293,e_294,e_295,e_296,e_297,e_298,e_299,e_3,e_30,e_300,e_301,e_302,e_303,e_304,e_305,e_306,e_307,e_308,e_309,e_31,e_310,e_311,e_312,e_313,e_314,e_315,e_316,e_317,e_318,e_319,e_32,e_320,e_321,e_322,e_323,e_324,e_325,e_326,e_327,e_328,e_329,e_33,e_330,e_331,e_332,e_333,e_334,e_335,e_336,e_337,e_338,e_339,e_34,e_340,e_341,e_342,e_343,e_344,e_345,e_346,e_347,e_348,e_349,e_35,e_350,e_351,e_352,e_353,e_354,e_355,e_356,e_357,e_358,e_359,e_36,e_360,e_361,e_362,e_363,e_364,e_365,e_366,e_367,e_368,e_369,e_37,e_370,e_371,e_372,e_373,e_374,e_375,e_376,e_377,e_378,e_379,e_38,e_380,e_381,e_382,e_383,e_384,e_385,e_386,e_387,e_388,e_389,e_39,e_390,e_391,e_392,e_393,e_394,e_395,e_396,e_397,e_398,e_399,e_4,e_40,e_400,e_401,e_402,e_403,e_404,e_405,e_406,e_407,e_408,e_409,e_41,e_410,e_411,e_412,e_413,e_414,e_415,e_416,e_417,e_418,e_419,e_42,e_420,e_421,e_422,e_423,e_424,e_425,e_426,e_427,e_428,e_429,e_43,e_430,e_431,e_432,e_433,e_434,e_435,e_436,e_437,e_438,e_439,e_44,e_440,e_441,e_442,e_443,e_444,e_445,e_446,e_447,e_448,e_449,e_45,e_450,e_451,e_452,e_453,e_454,e_455,e_456,e_457,e_458,e_459,e_46,e_460,e_461,e_462,e_463,e_464,e_465,e_466,e_467,e_468,e_469,e_47,e_470,e_471,e_472,e_473,e_474,e_475,e_476,e_477,e_478,e_479,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94,e_95,e_96,e_97,e_98,e_99
k_0,39,32,24,32,98,33,50,13,83,98,32,65,95,79,84,49,92,15,80,18,54,87,49,6,69,92,50,27,72,63,67,61,54,90,82,49,90,29,35,49,85,13,47,76,95,73,40,64,46,93,16,78,88,90,82,83,50,14,41,53,3,46,42,14,2,10,65,54,92,36,79,48,82,30,36,25,91,83,59,96,41,56,4,49,97,42,15,57,73,60,52,81,97,91,77,88,85,95,26,90,20,96,80,12,93,8,21,19,36,67,53,89,62,60,61,63,84,68,42,22,95,93,72,1,9,15,93,19,72,56,63,49,50,74,81,5,90,78,77,5,1,21,4,6,88,3,93,29,4,97,61,77,79,51,66,85,23,68,42,85,84,94,6,90,98,3,28,55,41,82,51,45,48,36,51,2,75,70,93,4,47,83,37,83,77,66,88,55,89,31,14,35,25,39,57,38,51,59,39,47,2,19,96,88,86,100,25,4,42,97,2,96,35,60,100,79,53,93,72,80,86,100,17,89,88,79,64,1,37,15,32,78,28,98,98,39,48,58,70,29,30,58,12,80,61,68,18,56,19,34,93,26,89,68,58,8,55,78,38,4,71,46,61,51,62,75,21,59,52,97,19,42,40,48,98,19,12,69,73,32,34,71,75,66,61,100,80,88,52,13,74,36,18,55,44,86,84,35,53,11,34,25,14,67,58,99,95,18,15,1,31,72,90,73,36,43,61,86,7,78,81,15,90,34,71,87,17,96,73,48,63,79,16,81,47,71,58,70,62,13,93,54,31,44,14,24,17,36,21,80,50,77,5,83,25,67,97,46,86,51,15,57,42,58,95,67,78,56,64,44,12,26,23,55,43,92,21,86,4,2,39,87,8,17,89,53,53,81,92,100,15,97,4,24,37,15,88,27,98,72,12,46,97,77,35,82,74,20,50,20,82,6,38,95,35,75,48,44,27,16,75,82,7,32,79,99,61,13,24,35,80,65,20,35,27,6,5,71,83,20,31,47,83,57,53,87,29,51,30,61,42,15,95,57,11,32,92,77,75,35,43,32,21,46,22,73,66,57,52,97,68,56,23,86,5,62,72,67,7,73
k_1,52,91,43,43,32,81,27,84,56,82,91,39,34,38,39,20,89,8,98,46,1,54,2,57,6,6,56,100,8,7,52,3,100,19,24,56,14,83,8,27,30,81,4,30,63,72,20,6,13,62,79,35,56,75,98,57,48,6,89,75,99,50,17,28,67,100,83,96,80,83,91,97,12,48,81,59,18,54,1,26,35,56,49,15,19,24,33,50,70,17,39,4,34,39,91,77,38,84,30,14,79,29,11,60,38,44,81,98,58,26,97,81,18,34,2,81,15,74,5,9,71,18,89,69,9,36,19,68,64,29,89,88,81,22,39,1,6,2,99,1,43,73,75,69,6,27,25,16,71,43,2,50,46,48,98,9,48,90,8,83,13,68,62,57,73,66,91,78,86,86,50,76,96,21,61,12,30,5,92,56,26,7,33,36,38,44,16,11,30,35,87,45,37,24,81,46,89,14,49,19,37,38,71,55,5,45,8,40,5,26,7,30,56,99,47,74,61,41,43,46,1,15,80,59,66,47,65,74,47,36,53,84,36,94,83,98,11,77,84,96,87,71,22,37,71,56,43,94,89,66,17,71,55,42,11,80,53,92,29,21,36,18,92,26,19,48,14,27,91,47,72,63,49,93,36,48,11,52,75,60,8,43,48,66,38,73,6,82,84,57,54,50,52,89,98,83,33,82,93,55,4,75,59,48,79,1,22,38,99,28,22,92,29,83,79,18,91,20,82,36,23,58,71,21,30,48,44,45,23,2,55,97,58,52,83,85,42,60,86,48,86,24,18,23,95,65,55,94,43,45,90,39,15,25,86,53,9,36,60,11,66,72,61,91,71,89,32,21,42,53,60,98,21,77,85,58,3,58,75,37,4,74,96,56,16,69,77,58,79,31,37,8,48,6,41,89,29,33,18,39,49,14,9,26,84,94,92,7,86,24,37,95,61,61,2,94,9,96,73,64,22,20,58,100,76,31,98,36,55,7,66,84,28,56,28,27,24,62,21,58,19,99,95,82,35,11,97,18,100,5,84,23,86,32,34,71,59,83,5,32,12,66,5,22,7,63,28,9,90,85,45,94,13,88,55,92,89,70,29,5
k_2,3,12,80,37,73,92,97,95,34,98,40,53,60,77,84,66,13,64,31,58,90,56,30,75,52,60,51,98,32,76,72,70,17,11,12,42,33,85,40,17,49,62,34,12,64,84,44,23,98,63,61,9,50,67,58,22,3,11,94,99,70,17,77,32,15,1,41,78,82,3,15,15,11,20,70,14,61,5,55,3,24,51,67,14,90,97,60,61,9,98,97,51,43,38,44,100,2,49,14,48,21,31,96,92,54,18,98,90,51,47,44,92,53,89,7,54,68,41,60,78,91,69,27,92,58,69,68,89,78,56,52,6,8,17,77,30,79,88,2,58,66,74,91,79,43,84,39,81,42,89,12,62,1,25,82,27,61,89,43,81,88,64,26,25,74,98,92,92,74,87,62,94,47,13,98,34,84,63,64,86,44,44,42,66,65,3,2,64,63,84,57,28,26,44,53,14,29,48,45,49,42,26,90,8,88,92,71,31,28,25,72,41,17,59,46,33,27,9,92,12,90,84,82,83,43,23,61,51,95,86,69,93,41,50,41,9,58,94,82,17,28,93,85,2,31,86,46,32,9,49,27,88,55,2,83,21,4,40,65,74,71,63,57,24,59,24,96,66,83,65,88,48,25,88,71,28,27,2,51,80,49,18,93,42,69,74,9,34,83,70,99,59,40,52,92,1,95,57,33,84,51,90,3,72,1,9,99,94,46,53,11,7,13,36,25,94,18,82,30,96,55,4,66,62,28,43,44,65,20,58,11,24,52,67,52,6,54,24,99,43,27,10,11,57,74,64,21,70,43,29,65,81,31,62,19,73,38,62,69,3,67,42,42,43,54,63,34,63,25,38,74,14,40,100,14,6,8,17,6,14,33,41,28,37,71,64,76,24,21,85,48,11,83,24,59,37,63,28,10,98,61,85,26,66,48,42,67,37,42,65,18,43,69,64,86,68,53,34,65,53,37,93,13,71,11,52,96,43,85,72,47,7,44,86,82,36,86,59,68,45,17,90,3,49,15,36,98,50,16,54,35,45,61,22,48,73,88,56,81,61,62,24,100,58,39,6,85,31,65,36,17,98,73,88,36,87,4,22,27,14
k_3,87,30,73,19,1,70,15,81,61,43,40,72,13,55,51,56,36,50,14,85,37,49,6,13,74,27,5,83,17,97,62,12,58,87,100,20,94,31,92,36,20,27,51,75,38,72,42,37,80,2,76,60,10,89,25,82,40,75,21,16,23,35,73,60,66,77,87,46,35,40,93,5,80,79,89,43,81,26,33,62,46,90,14,79,29,44,52,84,87,21,11,71,25,78,1,35,23,60,81,64,69,90,91,76,61,70,63,45,70,11,90,67,12,24,60,2,94,20,91,61,60,2,16,23,26,31,96,66,23,31,62,31,89,74,2,87,6,61,58,73,46,36,31,14,46,42,10,74,79,23,15,66,80,46,82,28,85,37,93,20,80,57,87,82,5,75,66,67,27,50,77,37,75,16,91,95,32,26,50,47,11,28,21,90,67,24,68,99,86,8,1,93,27,45,51,81,31,98,17,53,63,85,82,14,60,87,57,66,68,58,29,2,47,41,41,42,79,39,82,11,78,9,74,43,30,95,95,45,89,30,36,95,93,70,14,40,47,14,19,64,52,51,7,72,83,95,22,32,78,76,39,91,71,2,72,60,67,95,75,30,50,69,23,42,13,38,7,2,46,96,11,75,30,43,19,4,24,14,46,97,18,20,60,2,78,35,82,82,95,42,51,94,98,47,1,4,33,90,2,73,77,79,20,77,93,90,84,59,69,19,70,65,28,92,22,22,77,58,43,13,28,16,64,79,28,42,97,40,93,28,21,13,1,99,49,94,5,53,61,32,51,43,13,71,47,98,2,63,94,64,58,75,4,67,33,48,49,4,11,96,36,94,34,91,1,32,43,10,93,10,60,56,2,13,11,25,20,14,90,90,7,54,29,59,53,81,17,22,46,99,9,3,17,32,64,53,93,70,68,100,72,84,25,73,84,7,86,77,44,80,58,20,71,64,42,27,15,79,27,41,75,71,81,13,64,34,80,10,34,7,3,50,89,64,85,17,53,64,46,21,33,98,14,59,100,86,31,49,70,16,32,87,24,13,1,3,99,81,61,24,42,89,66,31,92,97,3,46,13,57,43,84,73,12,31,76,76,35,91,64
k_4,58,94,91,83,88,76,71,34,10,14,17,8,20,10,46,41,15,11,66,92,52,21,31,2,6,72,60,23,33,44,93,34,57,27,95,83,28,90,59,11,59,95,6,98,4,5,35,79,71,50,56,51,52,45,39,82,92,37,81,47,47,39,81,92,18,97,82,7,99,82,84,87,39,100,96,89,96,85,61,41,97,17,10,72,24,16,92,39,5,95,1,42,87,5,69,62,92,42,91,21,87,16,20,82,32,36,62,16,64,65,22,60,64,1,51,66,9,49,45,20,88,63,79,9,60,87,77,14,64,45,93,91,73,73,6,50,91,99,31,42,82,30,27,20,5,99,45,86,94,88,17,33,26,97,56,32,81,93,8,15,12,71,2,6,66,92,31,37,31,87,75,33,43,50,38,5,14,1,46,85,94,45,99,8,24,52,14,47,79,58,35,29,11,48,73,22,52,74,91,90,95,96,89,5,11,51,68,86,45,68,89,41,26,85,75,91,92,91,26,15,41,10,12,92,46,41,30,42,98,1,97,42,86,2,55,81,22,7,32,44,52,2,100,8,99,33,40,73,66,61,78,99,71,72,21,32,56,16,82,100,23,100,28,78,5,29,66,59,60,44,49,70,83,88,13,79,32,6,41,18,78,29,39,68,5,58,56,7,97,87,73,96,8,33,88,50,2,60,43,25,25,91,54,32,86,80,9,21,9,49,30,81,56,49,75,63,56,59,72,64,36,50,45,62,30,54,47,22,84,7,17,48,52,48,64,19,89,22,75,56,61,86,63,98,66,8,2,42,60,95,55,3,20,16,39,56,35,38,60,91,21,83,78,58,52,29,19,96,58,60,46,91,85,64,68,10,87,4,58,33,77,85,71,88,27,40,67,73,36,3,14,1,41,48,37,80,1,68,59,95,89,49,76,84,55,16,89,60,64,99,76,41,1,36,34,36,7,33,83,47,43,96,30,93,87,17,33,90,86,74,74,80,3,39,5,89,62,43,35,74,89,79,60,70,86,31,51,3,12,72,92,43,16,92,83,5,86,86,35,92,34,86,60,98,36,48,2,1,80,5,7,60,58,86,66,4,41,56,9,45
k_5,11,89,26,60,51,15,9,14,25,67,80,69,86,61,96,56,25,62,29,71,82,6,58,63,52,53,98,85,20,92,37,79,58,84,33,7,25,9,5,99,57,83,43,45,24,37,39,66,68,38,96,66,83,80,68,42,67,49,16,58,9,58,3,63,7,64,17,84,43,12,75,94,4,2,14,92,20,69,49,85,51,42,35,36,23,26,34,10,79,87,79,46,71,79,89,71,83,92,52,65,76,39,50,74,85,42,79,21,91,72,97,88,41,73,89,34,62,10,91,90,95,15,17,15,83,45,87,62,73,7,74,61,68,68,63,17,27,38,45,39,54,79,36,41,23,22,7,70,79,93,85,50,17,9,16,19,82,52,32,100,45,80,1,13,71,66,65,84,46,46,58,55,42,85,25,65,1,31,17,15,46,31,3,13,58,38,91,94,23,35,57,67,80,76,57,49,43,85,35,83,7,53,52,73,24,70,89,56,8,98,90,93,3,83,17,97,51,56,61,13,56,81,19,72,93,30,34,66,42,86,49,98,33,77,8,77,70,85,65,54,57,84,49,9,57,92,46,94,3,3,52,29,6,57,29,36,45,27,26,75,98,68,20,76,80,53,81,100,8,52,53,94,69,89,32,48,89,77,15,41,79,79,7,16,97,2,8,6,2,92,48,55,20,76,67,31,23,78,6,23,71,74,71,35,44,21,16,19,74,50,50,61,70,99,4,30,36,3,82,38,48,93,89,90,12,2,93,41,49,86,66,50,25,41,5,77,13,96,43,11,42,73,61,85,34,68,85,5,97,47,28,23,61,59,86,92,33,9,90,20,11,43,47,95,32,87,48,70,3,70,91,29,29,57,40,59,18,34,77,23,72,9,55,57,59,99,22,21,71,63,82,67,53,77,88,44,22,17,19,11,11,87,88,39,3,10,23,57,79,30,82,62,52,69,60,42,35,17,18,88,72,34,12,33,11,96,26,64,36,8,75,35,88,40,93,97,11,44,29,8,36,41,80,96,87,60,13,88,87,76,81,46,74,29,92,73,73,84,14,24,81,51,96,53,86,13,12,40,7,22,10,23,16,6,69,46,62,20,23,28
k_6,47,88,25,49,81,9,50,56,96,7,5,5,31,17,31,34,51,47,95,14,10,51,11,90,5,38,30,14,77,13,43,65,99,84,36,21,81,27,83,95,66,46,4,25,93,17,29,68,16,70,79,53,3,83,70,73,19,19,84,69,42,50,29,14,12,90,46,32,23,75,58,71,92,80,93,37,57,20,23,7,67,56,77,90,30,8,99,12,65,76,43,70,29,22,12,74,23,58,40,58,96,13,17,80,73,65,82,86,2,62,77,77,70,20,52,59,96,99,22,94,97,18,64,93,73,42,10,38,19,28,67,81,21,20,8,95,23,1,42,74,83,42,39,86,72,79,28,93,32,90,87,7,27,25,12,47,10,42,79,52,6,48,40,66,49,28,40,90,23,47,29,49,22,87,88,71,32,35,24,85,45,54,84,46,6,52,90,90,43,48,11,54,38,64,85,8,76,24,43,17,10,70,25,44,55,27,87,83,85,3,85,22,69,14,10,53,40,27,37,15,85,2,56,96,7,95,46,26,9,44,62,23,6,2,18,40,66,50,68,29,79,37,49,13,36,41,40,83,89,88,94,40,71,10,55,61,9,12,72,78,38,37,29,96,19,70,17,46,42,93,25,45,83,87,86,10,14,86,21,12,46,64,57,21,32,46,22,23,98,1,62,32,39,93,92,36,39,84,61,47,82,81,55,8,47,78,26,78,72,60,65,75,53,10,28,38,63,55,1,2,8,89,98,76,41,97,16,17,54,2,81,64,38,92,3,86,97,54,9,61,72,85,28,38,80,13,1,72,14,28,88,7,92,24,38,54,100,8,86,95,98,44,82,18,39,80,45,49,36,4,97,51,8,37,62,14,41,94,85,99,40,79,78,28,79,83,23,72,73,71,1,1,49,30,90,96,13,47,87,52,38,21,78,50,63,8,35,11,30,66,79,18,9,42,62,33,96,13,38,100,63,51,10,30,26,95,11,68,70,95,83,29,25,5,16,42,47,73,82,16,82,44,61,25,4,26,80,92,66,80,1,18,96,33,71,71,66,14,82,85,52,36,41,12,94,44,26,82,22,59,82,71,1,38,32,3,93,33,3,79
k_7,33,91,96,55,63,95,42,15,76,16,21,99,15,84,35,15,20,78,62,87,40,80,6,35,40,58,65,27,1,59,5,71,49,73,59,50,34,27,22,73,35,77,33,48,69,84,92,46,12,44,53,84,77,97,59,6,92,29,88,72,40,80,53,8,85,31,59,34,70,67,71,31,99,14,73,31,36,35,50,22,90,28,71,16,18,67,35,70,80,35,9,27,80,17,5,4,57,25,84,40,98,13,17,55,75,66,56,12,87,9,9,10,100,57,93,8,62,61,42,26,18,76,89,45,93,91,27,26,53,88,77,18,13,66,90,19,43,94,71,100,51,18,12,59,53,96,34,49,70,97,68,27,51,39,74,31,87,55,63,79,37,79,74,70,14,18,60,56,38,40,48,96,2,61,81,45,90,5,36,36,22,18,22,84,42,99,4,100,51,8,95,30,29,100,72,55,77,32,85,45,99,7,93,12,13,32,98,96,33,47,15,66,90,41,92,20,34,54,14,59,85,32,73,78,3,52,81,38,55,48,53,91,85,67,70,84,80,32,65,35,71,95,88,30,93,73,67,25,67,14,66,33,16,95,64,75,71,45,56,80,45,24,95,5,7,44,33,83,15,79,25,96,24,40,66,77,83,92,74,82,1,74,90,61,66,56,80,43,9,3,37,45,97,31,86,38,15,51,92,69,9,75,95,22,30,96,13,4,4,69,85,58,45,61,15,100,77,2,97,21,64,19,100,95,13,52,5,40,76,62,65,69,90,6,78,15,76,99,5,42,6,39,99,66,72,99,57,96,17,60,44,1,48,81,46,87,90,50,71,75,57,34,93,18,93,85,32,96,78,28,8,50,27,39,10,18,13,51,35,82,52,64,81,83,67,100,78,49,31,38,8,3,12,98,51,43,18,96,66,65,31,39,98,80,35,47,74,37,2,31,85,9,32,56,95,72,98,44,79,1,54,70,68,27,24,39,79,72,11,3,31,67,3,4,41,33,56,46,21,23,11,62,16,64,14,72,87,54,50,50,9,51,4,28,6,18,78,52,60,94,100,57,80,94,6,20,15,86,38,35,30,48,52,9,69,36,71,42,88,9
k_8,1,10,37,24,1,74,81,50,95,37,53,26,16,60,72,29,37,88,35,33,47,17,26,86,19,81,4,67,46,9,71,23,4,4,93,38,31,10,17,4,8,88,100,40,28,35,77,21,70,95,48,42,51,26,72,51,70,21,2,97,46,17,40,83,34,93,3,87,68,41,23,14,68,62,48,29,8,2,38,68,22,32,28,79,68,60,41,63,13,51,66,67,24,16,85,72,26,64,70,78,75,40,66,8,36,99,40,37,13,17,84,57,80,89,69,66,68,78,84,3,61,84,10,60,93,39,66,82,58,27,64,41,77,74,32,7,43,70,27,84,69,42,19,23,90,29,15,43,96,62,81,15,62,67,55,2,91,1,48,77,15,28,27,66,11,63,69,70,100,11,44,83,71,9,10,98,71,34,16,81,59,79,21,8,28,30,65,73,57,79,57,57,26,70,76,60,95,36,2,18,28,22,21,26,40,14,58,38,40,43,53,77,8,24,20,5,24,32,48,89,24,55,91,73,70,51,60,41,55,97,9,95,7,18,9,51,81,78,53,56,40,5,90,32,13,82,38,26,25,100,81,87,42,82,76,63,80,65,19,53,71,65,16,8,67,69,13,36,3,92,72,74,54,56,58,20,18,89,54,50,36,41,42,54,75,34,63,53,27,65,1,89,65,15,75,6,11,4,78,4,57,22,61,5,72,37,17,79,90,54,42,99,7,94,79,24,40,51,28,100,88,49,45,85,95,43,70,62,17,86,67,52,31,69,40,16,54,53,44,88,26,71,52,67,54,68,14,6,42,82,16,90,90,26,26,32,41,35,77,35,74,55,51,74,38,27,99,78,38,79,50,31,8,33,21,24,19,34,9,24,24,35,25,72,77,52,7,90,16,70,41,58,48,75,68,5,100,52,36,94,71,76,79,25,23,71,81,65,92,11,52,13,49,28,52,71,31,55,69,73,44,33,23,75,74,42,24,77,74,73,19,72,50,65,50,61,35,50,82,18,47,76,4,95,7,73,20,48,81,4,75,83,96,61,32,5,44,49,42,26,50,57,1,86,18,59,8,33,32,73,37,99,54,63,73,66,90,84,53,54
k_9,88,33,36,42,52,58,20,51,92,7,78,53,52,11,21,71,87,88,42,62,81,62,79,43,43,45,7,68,45,44,12,97,100,15,15,73,89,41,66,83,88,33,72,17,45,2,40,89,67,70,48,96,50,91,70,31,52,3,35,17,58,50,53,42,19,82,82,72,4,55,31,18,70,54,76,88,72,96,34,95,25,80,7,100,28,7,30,58,98,41,92,72,13,100,88,1,12,40,61,48,1,30,32,58,78,76,94,2,3,51,18,92,58,75,46,21,31,76,54,21,90,15,89,28,93,19,56,73,70,91,5,44,86,15,48,82,81,79,17,18,1,28,80,4,57,64,14,44,28,76,55,93,17,1,31,3,25,42,56,45,71,61,28,85,85,53,50,32,99,76,82,74,13,17,25,89,57,70,69,91,73,13,21,20,42,12,29,11,8,76,32,95,85,77,49,79,4,58,25,30,88,33,8,87,44,19,3,17,97,30,95,37,47,27,74,45,15,96,79,21,69,93,9,44,88,92,28,79,85,27,32,56,16,28,74,89,10,98,97,59,23,98,16,66,98,41,73,11,30,58,38,40,22,19,97,18,57,59,89,27,18,25,64,49,76,83,97,82,49,6,91,38,48,75,69,96,48,79,65,100,56,41,87,68,87,58,71,75,8,46,94,33,47,56,62,82,51,73,36,41,32,79,13,42,49,50,79,95,15,11,52,51,55,82,88,11,32,55,50,64,63,25,5,90,85,10,52,55,30,60,38,36,100,83,47,35,82,73,53,49,53,39,70,30,64,30,14,76,44,71,39,62,94,85,17,63,4,87,95,86,25,43,71,56,46,42,91,61,42,87,59,17,27,40,39,84,50,59,52,61,8,57,68,27,84,78,82,83,49,70,66,66,76,90,100,83,55,89,79,79,38,60,71,21,84,5,73,19,84,37,21,56,43,42,52,19,87,54,48,28,24,36,60,93,51,30,93,79,46,69,89,99,75,93,94,53,11,42,81,52,81,78,4,58,40,70,78,87,29,19,61,44,15,61,92,81,54,25,9,7,82,12,9,61,83,82,89,74,77,45,42,93,27,48,69,95,30,34,2,98
