id,origin,destination,transit_time,capacity,fixed_cost,variable_cost
e_0,node_15,node_0,140,5018.9951377633715,19360.097248429614,
e_1,node_10,node_9,18,3041.8152350081036,2514.298343951898,
e_2,node_18,node_0,113,13688.168557536468,15588.649732501766,
e_3,node_12,node_18,80,14448.622366288493,11062.91271338835,
e_4,node_14,node_15,27,4106.45056726094,3771.447515927847,
e_5,node_1,node_6,116,7908.71961102107,16091.509401292145,
e_6,node_14,node_17,173,3193.905996758509,23885.83426754303,
e_7,node_2,node_17,67,7452.447325769855,9302.903872622022,
e_8,node_5,node_8,24,8973.354943273906,3268.587847137467,
e_9,node_1,node_0,78,15209.07617504052,10811.48287899316,
e_10,node_17,node_16,100,13231.896272285252,13828.640891735438,
e_11,node_19,node_16,105,11558.897893030795,14582.930394921008,
e_12,node_2,node_15,16,1977.1799027552674,2262.868509556708,
e_13,node_7,node_15,71,5931.539708265803,9805.763541412402,
e_14,node_19,node_7,100,4106.45056726094,13828.640891735438,
e_15,node_2,node_8,45,13231.896272285252,6285.745859879745,
e_16,node_8,node_15,85,9125.44570502431,11817.20221657392,
e_17,node_13,node_18,107,5323.176661264181,14834.360229316197,
e_18,node_18,node_13,95,13840.259319286872,13074.351388549869,
e_19,node_6,node_5,60,4106.45056726094,8297.184535041262,
e_20,node_11,node_8,65,13231.896272285252,9051.474038226832,
e_21,node_0,node_10,85,12167.260940032415,11817.20221657392,
e_22,node_11,node_0,33,13688.168557536468,4525.737019113416,
e_23,node_13,node_14,9,2737.6337115072934,1257.149171975949,
e_24,node_16,node_9,140,9581.717990275527,19360.097248429614,
e_25,node_8,node_16,80,3954.359805510535,11062.91271338835,
e_26,node_2,node_3,147,2585.5429497568884,20365.816586010373,
e_27,node_9,node_8,111,8821.264181523502,15337.219898106578,
e_28,node_10,node_16,58,14600.713128038899,8045.754700646073,
e_29,node_13,node_6,151,6235.721231766613,20868.676254800754,
e_30,node_16,node_2,31,4410.632090761751,4274.307184718226,
e_31,node_4,node_0,160,3345.9967585089144,22125.8254267767,
e_32,node_13,node_5,151,7756.628849270664,20868.676254800754,
e_33,node_0,node_1,13,456.2722852512156,1760.0088407663284,
e_34,node_11,node_6,87,6083.630470016207,12068.63205096911,
e_35,node_2,node_13,111,6996.1750405186385,15337.219898106578,
e_36,node_3,node_5,65,2129.270664505673,9051.474038226832,
e_37,node_0,node_16,55,3802.26904376013,7542.895031855694,
e_38,node_6,node_17,76,6996.1750405186385,10560.053044597971,
e_39,node_2,node_1,173,12927.714748784441,23885.83426754303,
e_40,node_19,node_18,169,3954.359805510535,23382.97459875265,
e_41,node_10,node_15,67,3802.26904376013,9302.903872622022,
e_42,node_16,node_3,89,4410.632090761751,12320.061885364299,
e_43,node_13,node_10,151,760.4538087520259,20868.676254800754,
e_44,node_7,node_12,40,8212.90113452188,5531.456356694175,
e_45,node_16,node_6,22,760.4538087520259,3017.1580127422776,
e_46,node_14,node_6,142,13383.987034035657,19611.527082824803,
e_47,node_2,node_14,127,4562.722852512155,17600.088407663286,
e_48,node_15,node_8,182,13383.987034035657,25142.98343951898,
e_49,node_12,node_14,91,10037.990275526743,12571.49171975949,
e_50,node_7,node_10,116,6539.902755267423,16091.509401292145,
e_51,node_1,node_18,142,8973.354943273906,19611.527082824803,
e_52,node_10,node_13,85,1520.9076175040518,11817.20221657392,
e_53,node_17,node_8,31,2889.7244732576987,4274.307184718226,
e_54,node_11,node_13,33,13992.350081037277,4525.737019113416,
e_55,node_11,node_1,178,6387.811993517018,24640.123770728598,
e_56,node_9,node_2,87,14296.531604538088,12068.63205096911,
e_57,node_0,node_15,35,2281.3614262560777,4777.1668535086055,
e_58,node_14,node_10,158,13536.077795786063,21874.395592381512,
e_59,node_0,node_12,56,9581.717990275527,7794.324866250883,
e_60,node_15,node_6,78,14600.713128038899,10811.48287899316,
e_61,node_0,node_13,22,12927.714748784441,3017.1580127422776,
e_62,node_19,node_10,73,14752.803889789304,10057.193375807592,
e_63,node_18,node_9,111,304.1815235008104,15337.219898106578,
e_64,node_8,node_13,142,15209.07617504052,19611.527082824803,
e_65,node_17,node_4,162,13231.896272285252,22377.25526117189,
e_66,node_18,node_12,80,4106.45056726094,11062.91271338835,
e_67,node_1,node_3,4,7148.265802269044,502.85966879037954,
e_68,node_5,node_4,158,15056.985413290115,21874.395592381512,
e_69,node_2,node_0,145,3345.9967585089144,20114.386751615184,
e_70,node_13,node_11,178,14600.713128038899,24640.123770728598,
e_71,node_17,node_7,180,11558.897893030795,24891.553605123787,
e_72,node_18,node_17,29,11406.80713128039,4022.8773503230364,
e_73,node_8,node_7,104,11710.9886547812,14331.500560525817,
e_74,node_9,node_0,138,13840.259319286872,19108.667414034422,
e_75,node_15,node_10,109,8060.810372771475,15085.790063711387,
e_76,node_16,node_4,80,3041.8152350081036,11062.91271338835,
e_77,node_13,node_17,171,1520.9076175040518,23634.40443314784,
e_78,node_0,node_6,64,5779.448946515397,8800.044203831643,
e_79,node_10,node_19,127,2737.6337115072934,17600.088407663286,
e_80,node_6,node_19,31,6083.630470016207,4274.307184718226,
e_81,node_15,node_18,178,11406.80713128039,24640.123770728598,
e_82,node_12,node_19,125,4106.45056726094,17348.658573268094,
e_83,node_8,node_5,113,5779.448946515397,15588.649732501766,
e_84,node_4,node_8,120,12167.260940032415,16594.369070082525,
e_85,node_13,node_1,53,5171.085899513777,7291.465197460504,
e_86,node_16,node_19,87,8212.90113452188,12068.63205096911,
e_87,node_7,node_11,82,11710.9886547812,11314.34254778354,
e_88,node_18,node_7,87,6844.084278768234,12068.63205096911,
e_89,node_12,node_1,67,12167.260940032415,9302.903872622022,
e_90,node_18,node_3,60,2129.270664505673,8297.184535041262,
e_91,node_16,node_12,169,8821.264181523502,23382.97459875265,
e_92,node_7,node_16,65,14144.440842787682,9051.474038226832,
e_93,node_13,node_2,78,5323.176661264181,10811.48287899316,
e_94,node_10,node_2,65,11558.897893030795,9051.474038226832,
e_95,node_6,node_14,147,7300.356564019449,20365.816586010373,
e_96,node_9,node_14,13,152.0907617504052,1760.0088407663284,
e_97,node_15,node_3,113,13688.168557536468,15588.649732501766,
e_98,node_17,node_2,109,13992.350081037277,15085.790063711387,
e_99,node_19,node_4,96,8821.264181523502,13325.78122294506,
e_100,node_6,node_8,75,4410.632090761751,10308.62321020278,
e_101,node_17,node_0,22,14144.440842787682,3017.1580127422776,
e_102,node_16,node_11,20,13688.168557536468,2765.7281783470876,
e_103,node_10,node_17,133,2585.5429497568884,18354.377910848852,
e_104,node_1,node_11,98,2585.5429497568884,13577.211057340248,
e_105,node_11,node_5,53,5779.448946515397,7291.465197460504,
e_106,node_0,node_11,136,10037.990275526743,18857.237579639233,
e_107,node_3,node_16,29,5171.085899513777,4022.8773503230364,
e_108,node_0,node_8,102,4258.541329011346,14080.070726130627,
e_109,node_12,node_7,82,2433.452188006483,11314.34254778354,
e_110,node_14,node_4,20,12167.260940032415,2765.7281783470876,
e_111,node_18,node_10,169,10037.990275526743,23382.97459875265,
e_112,node_3,node_9,11,3650.1782820097246,1508.5790063711388,
e_113,node_5,node_19,135,9125.44570502431,18605.807745244045,
e_114,node_5,node_10,64,15209.07617504052,8800.044203831643,
e_115,node_14,node_18,53,2585.5429497568884,7291.465197460504,
e_116,node_12,node_13,67,11558.897893030795,9302.903872622022,
e_117,node_1,node_10,153,304.1815235008104,21120.106089195942,
e_118,node_5,node_0,102,3954.359805510535,14080.070726130627,
e_119,node_6,node_12,98,11254.716369529984,13577.211057340248,
e_120,node_5,node_15,169,14144.440842787682,23382.97459875265,
e_121,node_0,node_7,27,11863.079416531606,3771.447515927847,
