commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_8,e_9
k_0,46,45,30,86,11,73,92,58,86,24,23,6,24,5,36,28,4,36,90,38,96,56,35,25,56,80,95,19,59,100,57,92,2,73,15,49,80,2,55,28,93,39,70,68,57,53,19,19,98,35,100,46,13,72,22,53,28,5,41,31,38,84,97,67,62,17,55,35,97,29
k_1,50,46,35,19,99,7,47,29,54,65,100,7,25,97,60,60,69,10,69,64,13,49,21,97,73,86,11,2,39,47,82,55,44,32,41,46,97,36,74,93,15,88,82,15,53,87,9,80,67,82,17,21,66,7,57,52,35,74,30,96,2,12,15,45,58,16,53,63,22,3
k_2,79,16,29,57,8,76,30,77,43,4,83,45,100,25,78,84,66,84,58,16,13,74,87,71,39,16,39,59,87,98,31,86,56,19,93,17,79,54,95,14,96,92,43,82,31,6,51,90,36,63,33,91,2,99,25,47,30,91,41,40,12,26,57,45,91,37,42,82,6,62
k_3,82,66,86,98,100,41,55,37,89,89,93,40,8,60,41,37,66,23,59,18,88,34,17,17,9,75,75,12,47,23,69,44,96,13,31,69,87,32,60,58,76,31,69,49,23,45,27,87,2,29,61,66,14,72,24,62,71,17,63,70,95,1,27,90,94,34,13,76,53,46
k_4,33,47,12,23,88,15,64,38,10,70,63,56,92,88,41,28,4,64,60,76,10,46,3,3,55,81,16,61,69,13,78,44,38,44,92,44,50,28,96,53,52,71,100,69,52,39,74,29,87,5,70,3,67,80,49,49,2,97,54,5,29,52,33,16,62,34,27,10,48,50
k_5,93,30,56,76,77,89,25,98,38,58,57,94,94,94,94,78,7,18,62,71,31,32,92,62,23,60,39,15,20,54,18,46,55,69,3,9,90,18,20,16,6,7,45,42,60,40,73,26,91,14,39,14,74,70,54,35,26,67,48,74,63,5,55,79,99,7,95,10,52,97
k_6,97,85,4,59,62,32,88,45,38,14,37,47,57,69,55,3,16,98,13,34,32,18,10,84,59,79,52,59,37,39,34,69,32,80,60,29,97,65,27,66,25,13,93,76,56,85,56,39,74,97,98,12,54,99,84,27,88,83,79,42,32,94,17,46,30,82,82,49,68,90
k_7,16,5,54,67,61,30,21,53,37,99,96,1,58,49,93,99,17,19,85,53,96,84,63,53,68,92,64,4,49,32,100,11,91,29,28,36,90,9,76,30,74,57,1,74,22,59,50,43,74,77,29,81,28,30,38,40,22,27,30,46,38,97,39,74,35,59,92,72,59,69
k_8,63,90,2,97,68,71,54,49,42,58,48,86,100,33,66,67,78,74,28,39,13,85,91,99,78,18,32,4,84,56,95,75,92,49,16,33,75,53,46,22,40,97,73,76,100,20,13,70,24,63,20,84,19,59,16,87,6,58,12,5,66,25,49,42,69,99,64,13,93,3
k_9,44,86,28,50,75,2,23,18,38,88,67,90,22,96,100,36,72,34,14,72,39,12,8,44,95,17,16,85,69,15,48,63,44,9,50,73,61,86,82,50,82,41,22,85,24,94,67,40,89,80,4,32,25,32,87,5,41,76,71,7,32,43,61,31,83,41,56,87,5,19
k_10,18,46,15,97,86,73,92,97,83,53,72,41,86,76,65,12,96,66,46,16,87,79,85,23,23,65,4,63,89,76,90,81,30,77,43,27,49,45,12,87,34,78,89,38,9,19,93,56,7,61,46,84,10,82,8,85,73,8,37,89,67,61,55,34,46,70,41,31,35,98
k_11,40,81,29,26,84,73,59,63,62,29,54,94,5,66,33,78,26,76,72,97,96,92,48,48,12,21,20,32,68,75,84,30,10,14,57,44,72,96,83,98,53,32,18,33,50,45,93,96,82,88,48,53,83,78,22,55,42,27,39,55,23,51,69,32,43,1,49,12,92,56
k_12,49,95,25,46,100,43,24,6,99,19,41,42,44,34,29,19,44,32,33,32,94,93,91,57,34,57,92,9,88,33,98,52,28,62,3,95,2,84,21,88,8,77,20,82,50,10,88,36,90,16,60,99,29,65,36,15,23,40,38,79,56,55,50,74,47,26,74,13,20,90
k_13,75,45,68,94,20,44,40,40,50,51,21,71,39,80,12,11,68,58,47,20,91,85,24,71,34,63,95,52,50,8,13,16,39,6,8,86,10,54,13,75,57,33,56,4,98,17,33,58,20,57,57,5,57,74,89,39,39,1,56,93,19,54,28,10,25,59,35,76,44,68
k_14,80,96,1,58,19,94,68,9,29,93,10,74,38,57,48,79,97,53,11,98,85,13,61,17,55,86,92,52,78,45,12,29,41,13,12,77,83,39,48,38,22,18,56,37,23,88,69,1,60,10,70,41,70,70,33,77,1,97,59,47,61,83,34,11,85,61,30,96,99,82
k_15,43,13,29,70,96,12,26,89,15,92,6,33,7,40,65,91,20,95,97,2,66,48,64,87,27,98,15,81,20,73,83,18,70,71,83,76,14,29,39,62,62,48,87,7,70,56,47,76,92,67,45,53,41,96,85,62,21,34,81,88,57,8,12,20,49,57,10,46,35,18
k_16,64,86,26,58,62,39,74,50,58,57,9,13,12,11,62,47,89,39,85,38,98,78,95,84,1,38,69,6,7,11,19,23,76,80,72,7,51,97,28,83,21,56,92,51,40,56,58,50,17,61,40,11,70,66,29,64,40,15,20,83,54,47,58,39,54,54,76,59,44,48
k_17,30,23,76,14,64,64,1,2,91,65,51,33,37,55,51,51,69,67,65,4,87,41,47,99,44,5,76,32,55,63,45,37,23,56,23,49,44,17,7,67,76,59,5,40,85,10,33,89,73,67,36,28,35,27,70,67,16,70,33,42,41,100,21,88,28,81,98,62,87,58
k_18,70,75,83,58,79,63,73,15,49,92,2,35,92,27,3,32,67,72,43,37,50,76,44,36,72,54,45,5,12,98,63,27,59,21,74,98,38,24,1,68,84,23,86,93,63,92,9,57,51,70,68,49,2,30,75,70,95,4,90,45,93,1,40,39,12,90,77,85,42,78
