commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_6,e_7,e_8,e_9
k_0,54,35,78,81,11,23,42,40,96,27,9,9,53,35,33,91,100,71,7,53,24,32,84,42,60,74,15,45,69,27,28,48,18,6,76,80,94,97,82,69,42,87,95,80,82,50,64,2,30,61,86,92,10,15,76
k_1,40,8,45,82,49,2,82,92,30,28,22,64,11,68,81,10,97,53,76,100,57,15,29,28,14,43,27,29,67,4,46,10,11,90,37,41,35,44,56,71,49,33,99,15,70,1,72,35,34,65,64,41,75,11,86
k_2,58,67,70,68,80,46,74,19,97,32,10,78,81,24,37,50,74,79,22,94,79,34,79,92,66,97,75,50,14,55,28,21,35,23,56,23,29,85,40,9,36,24,64,79,52,59,85,85,41,71,4,96,95,9,36
k_3,68,84,95,63,47,24,27,76,30,14,93,25,83,57,55,60,36,97,85,52,73,23,24,39,93,91,36,5,92,62,21,32,97,25,83,15,92,93,22,94,69,26,47,42,87,100,47,54,71,97,44,12,44,95,5
k_4,5,91,36,22,66,32,82,17,6,42,39,63,16,71,84,1,34,6,83,62,8,77,42,60,69,27,4,90,80,85,48,84,79,90,86,16,40,60,94,9,56,50,23,44,16,42,22,28,57,30,57,39,35,51,68
k_5,23,30,60,51,51,88,41,53,93,92,77,4,84,62,37,57,49,23,38,28,29,25,89,62,26,71,76,81,77,43,24,13,46,23,84,6,47,79,70,88,64,99,88,12,82,18,86,70,63,95,97,48,76,31,75
k_6,51,80,4,7,54,37,50,99,45,11,50,41,76,21,73,1,41,37,47,4,47,12,91,40,3,14,9,25,57,46,54,41,6,56,28,36,8,23,50,4,27,95,14,71,65,72,43,36,61,72,96,59,85,58,83
k_7,79,36,39,75,68,93,19,74,49,53,52,69,5,8,15,16,86,40,36,87,47,26,56,10,41,40,4,13,38,10,83,17,39,2,72,29,42,7,16,39,53,39,75,32,74,61,15,44,84,73,100,64,53,70,96
k_8,54,66,13,67,48,9,39,19,49,94,39,75,29,99,72,24,2,38,87,4,97,57,31,26,64,29,78,99,59,94,22,70,34,29,73,11,33,53,77,41,75,22,62,64,14,73,17,89,9,42,53,59,91,46,55
k_9,78,91,81,85,57,20,93,4,10,25,28,63,12,42,31,31,31,62,98,97,14,21,56,34,45,49,20,78,82,83,63,34,8,58,88,65,75,97,29,22,100,93,79,72,33,45,83,60,23,40,98,68,24,98,63
k_10,32,77,20,9,65,12,73,84,84,24,28,41,7,8,51,32,65,14,2,19,37,86,66,25,55,100,86,69,7,2,93,13,20,82,17,100,47,16,66,70,60,79,12,71,43,7,60,38,88,76,39,73,27,49,96
k_11,64,78,57,71,40,7,58,12,21,78,29,27,79,80,27,89,52,62,3,86,87,86,52,97,22,27,82,68,97,49,50,39,56,88,76,94,44,59,6,14,59,1,18,53,92,36,80,40,67,80,6,62,87,43,73
k_12,32,76,65,25,80,52,72,50,55,48,32,75,91,78,71,87,10,51,26,86,3,90,77,69,70,10,75,23,72,28,86,87,40,8,53,64,65,67,70,35,86,90,97,75,13,75,64,62,52,62,76,30,40,93,80
k_13,70,53,25,16,45,4,43,45,61,44,18,37,57,55,63,1,89,27,63,50,32,22,10,33,63,43,4,87,82,28,72,32,46,97,94,5,59,44,24,98,83,20,4,1,89,22,37,61,47,54,59,88,85,44,59
k_14,77,42,63,15,90,74,77,71,32,39,20,54,32,53,93,42,9,24,17,91,30,8,45,43,79,71,33,7,38,38,2,88,39,42,26,60,14,45,61,71,76,2,1,10,52,66,41,1,96,61,60,47,86,34,47
k_15,31,85,4,86,21,28,76,87,50,36,43,15,52,13,29,55,43,50,41,8,62,93,16,84,90,4,66,43,27,49,98,90,54,22,95,35,87,51,4,81,91,52,54,58,5,82,61,61,45,93,17,53,46,52,76
k_16,64,37,82,13,91,94,65,79,87,52,10,9,53,47,23,91,79,90,22,56,55,37,9,63,9,82,8,33,23,55,99,43,21,96,72,86,80,47,2,62,60,17,2,56,99,41,6,95,79,58,77,39,72,88,43
k_17,8,81,54,100,17,63,70,17,11,62,75,33,92,65,84,20,74,18,70,54,64,66,25,47,69,72,32,85,96,57,60,28,8,21,4,41,43,27,18,80,37,43,66,8,68,78,60,6,69,23,56,62,59,5,53
k_18,83,48,59,91,94,88,75,14,96,59,38,21,7,62,51,87,78,4,18,100,20,90,45,3,4,53,72,98,24,85,98,90,33,16,6,71,40,54,35,22,85,59,6,4,68,70,27,11,15,30,30,30,79,97,41
k_19,66,60,39,85,77,46,17,5,15,4,95,98,83,44,97,41,90,21,51,64,84,28,42,63,48,16,2,36,89,74,14,88,52,39,78,98,75,32,29,50,84,24,31,27,29,19,58,37,81,69,56,49,5,63,82
k_20,98,88,15,99,72,31,30,31,39,8,40,49,40,92,75,100,12,3,55,80,31,23,46,69,21,100,6,81,96,59,96,49,20,28,44,55,76,9,33,92,54,29,40,17,52,47,66,17,5,44,3,73,95,100,84
k_21,42,83,94,75,32,98,35,48,81,45,31,22,33,32,51,21,25,65,22,65,30,90,7,32,65,49,26,1,96,80,65,84,100,14,29,36,21,80,83,13,51,26,73,41,72,55,42,79,87,34,67,26,91,92,96
k_22,76,49,71,48,4,14,8,37,86,72,90,82,27,40,72,97,73,68,57,2,49,81,47,19,23,50,23,79,32,73,42,28,44,27,84,39,81,28,26,72,16,88,41,82,54,76,81,92,72,89,9,88,45,100,46
k_23,35,90,77,44,13,95,69,98,8,69,99,59,53,3,19,10,3,76,45,28,89,98,14,76,22,11,69,5,35,80,89,99,67,13,8,12,58,83,33,25,84,91,35,51,50,97,24,70,48,74,54,56,90,14,46
k_24,27,29,2,5,27,22,9,86,16,41,69,41,99,76,14,13,22,32,58,59,46,6,99,99,39,99,45,11,17,61,24,22,43,29,87,99,43,9,89,100,22,84,21,46,64,91,13,7,47,93,93,37,25,67,90
