commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_8,e_9
k_0,81,98,28,21,54,29,100,67,18,95,39,14,43,24,65,94,13,51,88,39,26,61,13,84,55,13,88,99,79,98,19,65,59,99,100,78,98,21,84,90,1,94,93,47,9,61,93,35,42,52,47,22,12,62,83,7,7,37,1,91,88,74,95,60,75,98,99,74,43,29,62,12,2,55,38
k_1,28,57,48,16,63,30,13,89,18,16,24,64,97,58,88,35,52,20,54,89,44,87,38,21,37,87,2,91,80,25,3,45,61,46,25,78,33,98,100,19,13,59,63,17,35,48,54,26,60,65,64,3,52,90,15,65,89,14,28,10,56,28,100,70,12,79,51,57,5,35,60,98,95,72,89
k_2,88,19,16,19,74,40,100,96,42,4,100,25,34,15,40,93,53,5,61,87,67,22,49,7,37,99,20,26,26,87,2,4,34,53,51,90,17,57,20,83,49,17,3,14,52,52,55,29,76,38,73,91,63,86,27,45,24,67,31,73,45,60,20,41,11,65,99,45,51,86,52,57,35,57,66
k_3,21,77,23,91,65,6,74,33,63,2,76,37,65,93,100,9,50,2,6,27,20,31,30,64,84,25,88,63,59,63,55,86,73,82,62,73,5,93,85,85,79,98,37,23,85,23,63,77,10,95,28,63,42,13,7,84,1,63,46,4,77,21,56,81,30,40,46,91,97,92,19,99,53,26,44
k_4,15,16,57,81,7,94,89,38,4,2,90,86,11,6,98,11,65,56,16,1,94,38,99,65,39,74,70,99,38,44,42,24,76,46,7,38,55,51,61,7,4,95,63,84,15,76,84,32,96,93,11,31,55,19,8,72,11,35,20,81,42,55,12,47,24,39,19,77,20,93,79,57,18,1,27
k_5,34,8,25,27,4,30,9,62,84,62,16,16,68,9,30,29,87,28,27,58,9,35,67,44,85,63,25,89,29,68,82,20,19,14,81,17,22,23,89,40,91,89,31,22,18,55,51,70,1,33,3,27,31,37,2,5,7,47,59,2,100,19,22,11,16,97,72,54,78,7,57,41,61,40,48
k_6,33,50,73,7,68,47,96,54,30,44,58,88,45,39,99,54,3,46,91,88,35,69,55,15,73,64,80,2,25,54,57,67,52,10,93,88,27,18,24,71,47,75,9,93,81,81,62,85,28,98,23,20,93,48,57,4,29,31,69,41,53,66,20,71,17,12,52,62,7,65,21,75,70,22,72
k_7,98,12,88,71,23,61,38,16,9,32,75,77,2,38,90,44,84,45,45,99,41,20,2,6,7,60,9,72,20,23,63,20,47,39,20,76,19,85,35,23,76,89,30,8,59,9,72,57,89,59,69,100,6,83,8,80,63,64,21,6,31,69,24,69,60,94,63,86,79,99,94,18,67,30,68
k_8,56,23,90,19,3,14,5,22,12,73,1,55,80,68,87,5,36,17,30,88,19,94,21,22,59,9,96,65,19,5,93,50,2,30,78,91,81,95,52,54,99,40,40,60,29,54,88,85,15,44,23,24,25,46,54,35,87,85,75,55,94,60,12,84,77,35,38,9,63,33,88,62,69,60,44
k_9,50,17,63,51,99,25,31,30,83,40,65,94,79,14,67,2,96,22,49,92,95,92,5,63,72,41,5,86,25,98,11,51,23,31,6,50,81,25,92,59,1,66,8,97,15,74,29,95,64,73,26,54,72,91,70,44,49,31,59,13,99,64,44,86,93,41,76,85,42,37,23,45,88,65,18
k_10,41,82,19,6,43,12,99,6,39,15,50,73,22,2,17,31,17,90,28,64,42,41,72,55,4,74,30,11,60,7,77,17,68,38,100,16,46,32,83,73,43,18,51,32,13,80,87,29,78,62,95,25,59,84,85,14,8,80,83,36,7,36,98,64,82,84,6,58,52,60,9,49,9,31,81
k_11,81,58,28,87,5,69,51,72,43,66,83,85,20,54,73,85,82,59,77,79,4,53,83,55,96,6,69,72,71,24,37,68,85,88,55,51,57,8,2,9,63,11,70,59,78,7,54,44,88,1,81,39,71,27,99,99,32,68,33,72,26,30,32,91,53,81,7,75,68,99,84,31,29,2,88
k_12,45,19,86,79,14,60,45,39,49,43,7,3,80,63,75,29,100,73,10,56,54,86,98,6,27,58,91,75,75,44,12,1,56,82,85,39,66,62,3,29,52,74,62,3,7,20,87,24,69,98,46,26,8,28,65,13,3,32,95,75,76,18,95,6,90,8,39,28,54,86,16,39,79,97,22
k_13,55,51,62,88,32,27,53,10,79,76,21,36,25,43,13,6,31,71,77,62,69,55,3,92,69,78,75,69,82,18,11,96,10,91,72,1,48,21,81,13,83,87,49,80,9,14,26,55,77,19,25,63,53,53,49,5,41,100,20,54,43,64,49,17,25,13,98,75,43,10,94,54,58,66,48
k_14,46,59,46,91,90,39,2,93,15,100,73,83,96,19,9,61,39,34,5,23,70,37,40,91,46,12,19,82,57,50,48,42,96,15,32,67,75,23,15,44,42,47,93,7,57,57,85,14,45,65,74,94,13,61,14,63,88,81,61,97,65,20,24,87,60,63,89,92,56,44,8,72,88,40,15
k_15,88,25,48,95,73,81,2,3,16,9,70,97,35,98,47,22,44,19,3,82,47,34,28,47,99,77,56,96,85,51,75,25,43,99,12,39,71,6,82,87,55,82,22,14,16,61,76,29,95,62,15,1,28,79,82,88,71,59,65,56,21,58,57,83,61,85,32,28,7,67,53,90,64,79,65
k_16,76,61,36,35,55,36,76,5,65,44,96,62,64,71,3,63,88,49,68,14,58,66,75,11,66,77,24,54,91,61,92,69,2,84,72,87,94,97,70,60,63,58,84,72,54,27,46,50,87,8,38,34,39,89,48,12,5,62,4,11,12,21,37,88,41,44,53,63,7,30,15,99,48,19,97
k_17,29,19,40,26,73,44,1,96,81,50,88,46,49,38,71,52,20,51,11,39,30,27,85,19,12,20,98,59,45,59,66,100,2,27,56,22,50,82,20,98,95,1,14,3,60,51,10,48,19,69,2,32,87,85,69,85,37,92,23,50,27,13,68,66,58,47,64,25,94,57,77,46,52,53,17
k_18,44,78,7,40,74,63,27,36,4,16,30,94,25,88,94,66,24,100,63,71,72,79,95,65,92,14,22,24,66,12,96,82,73,59,43,25,70,32,87,8,47,15,40,18,45,34,17,48,83,6,24,51,31,6,28,15,61,17,98,96,35,34,51,96,92,69,25,29,77,32,99,21,1,83,64
k_19,2,39,4,29,66,96,26,10,47,49,57,95,80,58,97,37,11,61,95,43,18,30,18,84,13,80,8,26,90,47,46,48,34,76,80,85,76,14,73,22,86,23,27,14,46,59,59,19,32,56,68,59,13,22,7,72,3,83,36,3,35,75,15,43,44,47,62,41,56,13,58,74,1,72,52
k_20,29,14,42,25,39,86,85,90,18,90,24,44,84,92,71,83,32,17,32,20,71,5,83,7,13,89,49,28,26,11,26,10,29,86,3,62,47,82,43,88,11,83,94,31,2,95,65,80,77,2,34,42,78,86,65,22,72,91,86,75,16,63,32,29,51,57,32,61,6,75,30,70,56,17,32
k_21,60,45,24,5,7,85,72,78,21,43,15,89,8,53,8,31,95,12,63,99,17,30,45,92,1,14,73,33,56,59,55,9,7,19,84,56,82,20,64,56,59,7,64,70,66,87,80,57,95,72,79,76,90,54,53,29,97,11,20,16,21,38,88,10,3,70,67,50,94,56,84,76,24,79,92
k_22,98,42,11,29,38,24,80,49,27,100,26,69,46,97,21,21,83,68,80,54,41,53,5,82,75,49,11,77,48,16,33,48,28,8,15,85,81,4,25,23,92,63,10,6,56,6,92,36,50,83,24,86,69,89,38,8,36,87,21,4,67,68,1,89,16,21,99,41,32,60,72,47,70,92,85
k_23,21,60,35,96,96,52,47,65,48,31,56,84,45,54,7,59,73,4,16,7,30,73,29,94,75,61,59,79,43,69,24,86,1,6,62,3,37,97,9,91,26,100,92,97,21,57,91,13,24,84,20,50,31,47,77,25,38,61,27,50,73,90,58,48,56,83,72,84,45,21,29,52,31,100,76
k_24,82,84,21,72,93,25,75,94,65,63,69,76,32,1,94,39,18,58,15,80,43,76,75,50,4,71,70,45,58,98,81,8,69,6,56,1,16,92,64,26,8,60,58,48,98,82,83,43,23,34,26,57,37,33,82,75,76,26,59,88,17,81,61,81,81,90,83,35,27,77,5,48,58,87,87
k_25,87,83,29,15,11,15,52,74,26,56,16,57,21,47,99,56,69,86,53,11,94,43,48,85,3,87,83,46,41,65,99,9,94,72,13,53,22,75,81,93,14,62,42,76,67,31,25,43,40,6,12,70,2,92,92,27,48,31,16,45,57,22,88,5,65,22,73,9,23,39,36,5,12,1,34
k_26,54,87,100,19,96,55,40,37,73,23,78,38,44,17,56,70,94,45,27,76,87,90,36,48,63,80,47,100,50,17,53,49,6,25,16,15,97,92,70,59,24,48,66,68,94,2,85,67,94,55,27,37,16,85,39,80,30,85,27,90,84,74,39,37,81,8,36,42,22,71,42,58,8,79,75
k_27,44,19,27,99,67,98,28,24,59,40,41,5,93,54,94,39,88,63,71,69,73,78,23,48,55,76,84,66,99,53,22,13,40,7,11,49,100,54,96,23,34,76,79,80,62,59,5,82,88,91,14,21,66,12,13,83,56,92,16,21,3,9,67,50,14,5,22,35,42,29,31,13,73,85,28
k_28,68,8,25,68,17,10,34,71,35,91,20,54,53,8,49,79,15,38,13,74,30,91,10,59,5,8,33,39,56,20,70,84,74,75,88,5,67,66,61,98,39,100,64,63,86,32,89,20,51,77,47,31,89,49,1,12,90,10,7,85,96,62,55,33,10,41,70,31,28,31,65,74,7,54,17
k_29,56,14,40,97,98,70,100,39,58,54,69,43,100,47,96,26,79,48,5,20,66,57,44,7,54,34,15,65,93,40,75,37,25,26,54,46,56,3,21,40,17,77,44,88,60,86,47,72,18,97,29,87,75,74,86,71,81,52,76,73,68,14,24,10,94,99,23,30,52,85,19,45,36,68,85
k_30,56,68,23,4,45,17,18,13,67,45,18,63,35,69,58,77,12,44,96,21,15,22,99,69,77,55,9,72,15,47,80,13,41,23,1,71,32,49,59,44,70,47,75,23,65,56,61,3,97,57,89,41,48,98,72,54,96,65,77,75,66,32,13,79,35,44,50,3,100,53,12,42,6,73,87
k_31,9,50,81,23,10,62,4,49,9,41,82,91,75,77,39,38,56,51,58,22,57,57,24,9,65,8,71,25,88,34,82,59,57,87,75,9,2,41,84,15,90,74,68,74,100,32,62,78,71,13,64,19,18,9,77,20,54,66,15,21,40,87,46,9,32,16,57,29,72,43,82,63,54,49,19
k_32,80,72,90,17,84,37,6,38,58,67,82,11,65,60,68,43,34,3,10,17,6,89,21,9,34,94,50,33,17,14,65,31,93,44,38,11,30,23,3,98,10,70,24,84,69,40,35,55,26,74,65,7,32,79,84,65,32,1,46,18,97,64,53,74,21,29,92,94,97,1,39,99,56,5,51
