commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_6,e_7,e_8,e_9
k_0,69,59,61,19,8,39,97,69,51,78,79,57,76,8,49,66,68,93,83,37,15,4,97,60,11,53,44,68,83,17,9,34,43,66,17,9,75,11,23,39,97,85,31,25,57,17,83,61,57,77
k_1,96,8,91,86,32,50,54,1,5,9,5,83,39,35,15,65,68,53,73,45,41,73,72,22,70,81,94,79,31,76,18,87,62,46,80,24,31,90,67,54,23,72,41,45,97,13,25,43,87,89
k_2,50,92,22,96,16,92,68,39,40,25,55,76,60,45,91,13,58,76,78,54,9,37,73,89,100,16,19,29,54,65,87,21,32,21,88,90,61,34,2,71,2,90,54,31,33,9,41,20,98,73
k_3,65,80,11,85,48,97,92,14,17,74,2,19,88,2,51,13,40,18,41,80,1,1,30,26,91,38,93,73,29,5,49,46,81,17,25,53,1,40,89,69,39,21,18,66,9,83,11,58,33,34
k_4,60,72,53,87,73,55,64,14,34,27,63,52,19,35,25,57,87,65,63,63,60,56,21,13,42,10,63,81,3,65,37,12,40,17,57,17,58,43,3,45,52,81,50,47,8,65,78,100,99,34
k_5,20,53,41,45,64,4,96,8,84,44,7,8,29,17,28,43,25,3,90,66,3,65,76,66,1,28,84,51,14,17,6,10,21,3,1,70,58,26,7,30,52,39,20,87,7,36,2,74,21,56
k_6,19,85,64,36,50,85,92,11,50,49,71,32,69,94,70,39,61,63,27,88,69,51,58,13,47,95,70,79,55,24,62,53,35,52,31,94,20,53,79,87,53,30,14,96,59,41,6,74,39,15
k_7,6,6,61,81,82,98,15,25,15,14,36,65,82,43,10,37,85,56,17,56,14,53,19,57,55,66,53,34,20,51,80,12,80,1,73,49,11,83,100,45,55,71,21,15,28,10,90,91,98,1
k_8,33,27,4,80,14,68,89,49,75,16,76,4,41,58,44,34,83,1,17,56,44,54,69,65,44,66,18,98,31,1,60,98,12,12,32,21,17,30,25,89,49,100,91,98,61,20,75,8,31,40
k_9,72,59,76,42,22,45,98,57,52,96,36,18,2,93,5,77,44,15,82,45,73,71,94,56,67,66,3,40,51,65,21,11,9,29,74,34,88,10,15,59,57,31,98,8,96,11,61,5,3,26
k_10,60,19,6,100,51,6,37,34,51,61,2,79,69,80,9,41,86,85,30,65,91,4,56,79,25,20,24,79,77,46,70,58,72,84,62,43,60,82,44,4,94,94,38,57,4,63,21,78,88,25
k_11,9,44,75,14,77,7,28,16,93,35,20,27,73,20,82,76,50,70,56,5,100,31,82,7,45,87,40,88,2,45,53,59,35,47,73,67,99,16,66,4,97,54,54,35,83,14,66,2,87,87
k_12,12,33,76,84,9,68,63,67,1,71,53,46,4,50,13,79,94,49,45,8,15,21,29,95,80,82,89,68,86,48,21,72,96,78,22,9,45,71,54,17,1,37,65,88,96,80,98,7,54,57
k_13,38,80,26,24,28,13,81,86,93,56,5,37,75,72,81,29,94,8,22,31,36,59,20,80,86,89,100,25,94,79,86,41,43,74,37,25,1,32,93,89,54,33,21,50,62,41,63,64,28,90
k_14,51,26,67,43,5,100,4,81,62,39,26,17,38,25,59,79,5,13,7,88,45,95,94,93,93,17,52,28,70,54,86,64,61,14,62,98,16,7,4,8,98,67,75,37,96,70,96,62,90,78
