commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_7,e_8,e_9
k_0,19,24,28,64,87,87,53,58,77,38,28,38,65,94,67,65,33,54,27,59,19,52,78,80,33,30,33,39,49,40,63,59,47,50,50,30,81,48,100,65,78,100,27,33,68,40,38,97,33,38,10,74,24,91,13,52,89,22,46,28,53,22,39,16,44
k_1,3,16,29,99,45,17,77,85,82,70,68,15,40,76,79,47,88,34,8,41,83,47,71,25,4,26,24,10,65,51,46,73,64,22,9,74,83,70,10,94,46,37,66,58,53,1,94,1,94,10,65,79,97,3,40,65,34,32,77,77,90,81,74,35,85
k_2,1,24,72,12,17,69,87,60,34,48,51,43,98,66,3,39,32,21,66,32,16,15,67,32,68,95,14,1,12,34,8,69,9,79,63,83,48,14,53,54,39,14,94,84,37,96,41,63,91,74,63,41,78,17,42,62,98,53,32,77,30,88,76,27,76
k_3,82,80,74,50,26,16,51,28,66,75,33,26,58,12,74,50,63,92,72,30,2,24,95,94,96,81,84,100,42,22,84,88,84,63,46,82,3,26,18,70,25,29,95,25,38,69,24,33,65,79,10,66,10,32,70,32,63,45,99,2,74,100,2,78,38
k_4,13,10,26,64,100,83,87,68,66,83,80,41,39,36,65,86,52,54,99,97,30,54,94,13,26,28,1,67,3,77,31,50,77,52,77,19,18,74,78,30,22,98,56,52,28,7,34,27,69,47,63,26,57,18,17,31,75,5,80,68,60,86,60,29,63
k_5,86,59,79,97,95,44,97,88,97,50,80,35,8,29,73,59,7,56,18,26,86,26,2,25,5,57,73,89,43,17,69,20,85,24,90,51,53,27,53,13,79,99,6,75,99,25,23,79,41,22,70,82,14,7,50,50,90,25,89,97,55,35,9,77,83
k_6,72,84,49,73,49,34,98,24,48,35,45,17,90,89,50,84,41,25,22,61,91,53,73,43,2,1,51,70,35,44,65,41,97,55,77,45,21,14,57,89,29,9,23,20,63,57,10,92,53,63,59,26,98,18,25,20,17,51,55,87,75,99,2,85,39
k_7,6,99,25,30,1,91,27,47,97,100,77,93,46,68,82,95,55,22,4,47,57,79,59,87,10,5,29,27,41,65,45,30,76,66,14,34,16,57,42,15,39,63,27,32,94,9,5,91,81,33,17,74,82,3,76,61,2,32,26,80,8,64,90,61,16
k_8,2,65,61,70,61,18,46,76,77,81,63,4,38,51,22,86,17,96,52,7,91,93,97,35,68,16,79,12,21,46,95,57,83,83,90,48,76,80,7,28,19,5,10,82,79,58,54,83,89,71,3,34,81,76,93,24,81,8,81,44,73,32,66,85,9
k_9,50,18,52,85,93,2,51,20,13,90,1,6,93,83,1,4,78,73,24,56,76,78,39,27,83,94,3,72,66,26,19,83,23,60,58,32,50,88,79,40,13,90,4,75,8,52,4,4,72,11,93,57,52,36,65,5,50,87,94,56,99,46,51,31,96
