commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_5,e_6,e_7,e_8,e_9
k_0,21,53,98,56,83,3,40,94,3,38,64,13,5,31,64,77,24,17,30,87,41,44,2,24,74,86,81,9,100,55,76,81,52,36,68,34,35,10,70,51,32,89,83,44,69
k_1,79,38,95,21,24,55,37,17,11,16,92,62,74,47,23,33,43,5,20,61,27,8,98,39,10,32,69,11,59,11,49,34,36,58,40,47,1,76,92,42,7,76,56,5,33
k_2,23,71,60,41,54,71,90,47,99,93,60,100,71,53,77,29,99,85,35,83,44,91,11,74,85,31,11,60,44,89,80,63,93,17,70,32,3,65,67,35,56,35,17,8,44
k_3,55,38,91,75,94,29,15,78,21,81,77,53,82,11,62,82,78,7,51,79,38,21,89,27,58,36,3,97,72,40,29,14,67,18,47,62,6,54,30,79,55,68,92,1,25
k_4,54,2,12,5,40,45,21,90,2,93,62,44,94,20,93,73,27,82,12,31,2,25,60,95,12,84,78,91,24,4,54,76,100,97,23,6,92,68,25,41,2,70,11,42,26
k_5,57,22,76,73,85,51,35,73,71,59,70,92,33,86,23,94,93,42,12,88,55,58,59,75,14,86,84,60,12,3,37,71,89,32,35,14,24,82,25,87,9,35,26,94,87
k_6,35,36,30,3,33,58,40,49,49,68,85,74,54,26,61,97,56,78,18,75,3,19,66,34,36,67,43,74,42,77,95,53,53,23,2,31,29,24,97,87,23,34,46,95,28
k_7,62,72,85,46,29,72,8,23,69,17,25,16,91,19,96,33,99,52,31,13,87,37,65,44,77,2,96,84,56,11,31,18,64,99,49,81,14,10,82,29,65,39,83,82,42
k_8,34,82,72,39,1,13,46,58,2,73,28,43,85,88,86,65,40,6,58,55,84,42,8,65,91,42,20,79,16,86,45,20,87,74,12,92,28,70,25,97,33,72,95,4,8
k_9,65,85,75,65,58,18,59,41,59,94,42,89,53,61,28,41,25,20,48,17,76,5,78,10,14,46,36,72,30,27,48,13,49,21,11,53,3,100,41,59,2,87,54,38,35
k_10,67,18,77,88,72,34,67,7,99,2,32,20,1,56,80,78,40,69,64,100,61,30,45,25,77,38,91,97,44,78,87,84,76,47,20,1,96,50,46,60,88,62,25,6,70
k_11,61,94,23,79,94,86,71,73,89,3,90,86,52,63,98,64,97,55,61,43,46,35,37,81,43,20,93,58,85,66,70,53,34,66,57,18,13,49,35,81,21,86,100,87,17
k_12,42,53,5,90,69,3,53,40,18,72,16,65,44,12,41,50,100,46,95,90,64,29,95,81,76,23,67,62,25,64,20,42,86,47,86,57,79,71,62,19,21,100,80,62,93
k_13,71,77,46,58,61,24,90,22,14,39,75,87,28,32,23,48,18,22,56,63,23,50,56,66,63,64,81,21,37,58,72,95,81,74,17,10,74,51,21,12,59,41,49,70,16
k_14,94,21,37,70,45,55,85,6,86,99,38,43,37,9,98,92,64,71,33,6,51,81,97,49,57,20,63,32,84,93,93,52,33,55,52,60,27,24,54,74,79,7,19,59,38
k_15,19,30,69,47,99,72,36,92,16,15,38,3,31,93,71,31,58,44,54,50,55,48,14,39,91,74,20,73,40,24,43,78,70,65,39,68,17,70,2,84,4,47,67,97,7
k_16,80,7,36,4,9,42,36,67,46,54,47,16,47,9,53,22,77,5,69,5,86,3,99,25,55,73,49,67,70,27,25,95,98,44,72,93,23,85,98,25,41,100,58,18,56
