id,origin,destination,transit_time,capacity,fixed_cost,variable_cost
e_0,node_8,node_11,10,36.89009232954545,33720.02068965518,
e_1,node_8,node_4,31,258.2306463068182,104532.06413793107,
e_2,node_8,node_16,5,110.67027698863636,16860.01034482759,
e_3,node_8,node_2,7,590.2414772727273,23604.01448275863,
e_4,node_8,node_13,17,774.6919389204545,57324.03517241382,
e_5,node_11,node_8,10,405.791015625,33720.02068965518,
e_6,node_11,node_4,25,516.4612926136364,84300.05172413797,
e_7,node_11,node_16,15,368.9009232954545,50580.031034482774,
e_8,node_11,node_2,17,295.1207386363636,57324.03517241382,
e_9,node_11,node_13,7,36.89009232954545,23604.01448275863,
e_10,node_4,node_8,31,700.9117542613636,104532.06413793107,
e_11,node_4,node_11,25,368.9009232954545,84300.05172413797,
e_12,node_4,node_16,26,110.67027698863636,87672.05379310348,
e_13,node_4,node_2,28,553.3513849431818,94416.05793103452,
e_14,node_4,node_13,28,368.9009232954545,94416.05793103452,
e_15,node_16,node_8,5,996.0324928977273,16860.01034482759,
e_16,node_16,node_11,15,1106.7027698863635,50580.031034482774,
e_17,node_16,node_4,26,442.68110795454544,87672.05379310348,
e_18,node_16,node_2,2,627.1315696022727,6744.004137931037,
e_19,node_16,node_13,22,479.5712002840909,74184.04551724141,
e_20,node_2,node_8,7,922.2523082386364,23604.01448275863,
e_21,node_2,node_11,17,479.5712002840909,57324.03517241382,
e_22,node_2,node_4,28,1032.9225852272727,94416.05793103452,
e_23,node_2,node_16,2,996.0324928977273,6744.004137931037,
e_24,node_2,node_13,24,516.4612926136364,80928.04965517245,
e_25,node_13,node_8,17,811.58203125,57324.03517241382,
e_26,node_13,node_11,7,664.0216619318181,23604.01448275863,
e_27,node_13,node_4,28,922.2523082386364,94416.05793103452,
e_28,node_13,node_16,22,442.68110795454544,74184.04551724141,
e_29,node_13,node_2,24,1069.8126775568182,80928.04965517245,
e_30,node_14,node_15,11,848.4721235795454,37092.022758620704,
e_31,node_9,node_4,6,405.791015625,20232.012413793113,
e_32,node_14,node_18,13,258.2306463068182,43836.02689655174,
e_33,node_17,node_18,20,700.9117542613636,67440.04137931037,
e_34,node_19,node_6,7,368.9009232954545,23604.01448275863,
e_35,node_10,node_11,4,516.4612926136364,13488.008275862074,
e_36,node_19,node_5,1,295.1207386363636,3372.0020689655184,
e_37,node_17,node_15,26,774.6919389204545,87672.05379310348,
e_38,node_2,node_0,13,922.2523082386364,43836.02689655174,
e_39,node_9,node_14,17,590.2414772727273,57324.03517241382,
e_40,node_12,node_17,18,664.0216619318181,60696.03724137933,
e_41,node_3,node_1,3,221.34055397727272,10116.006206896556,
e_42,node_0,node_2,13,1032.9225852272727,43836.02689655174,
e_43,node_12,node_9,14,405.791015625,47208.02896551726,
e_44,node_1,node_2,2,959.1424005681818,6744.004137931037,
