commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_7,e_8,e_9
k_0,7,87,22,40,31,45,19,14,82,15,69,84,41,52,74,49,42,30,21,62,77,17,36,76,34,92,49,88,42,20,68,40,5,60,53,19,48,62,83,5,53,74,18,43,51,93,86,55,18,52,61,30,30,40,16,12,57,48,59,16
k_1,1,88,76,2,21,31,7,36,91,20,77,33,15,64,90,68,31,37,61,47,89,13,11,75,94,65,68,37,42,44,19,59,23,81,73,45,26,69,42,19,85,38,15,44,25,8,78,14,64,66,37,31,97,77,40,51,89,27,78,46
k_2,20,57,21,82,19,56,20,28,89,52,38,66,26,53,75,26,37,81,21,99,40,44,25,62,61,26,84,97,61,49,72,80,19,22,5,56,91,7,77,38,52,27,76,20,90,22,54,14,5,39,91,34,47,95,73,54,48,73,1,16
k_3,95,63,58,52,61,82,69,21,18,90,74,46,93,51,78,37,99,97,60,62,38,67,64,94,23,82,64,64,59,15,1,20,2,66,80,83,18,22,4,46,4,82,21,22,65,97,93,25,70,6,82,100,55,53,2,68,80,72,83,54
k_4,88,63,32,20,49,89,58,3,42,8,56,66,5,22,61,43,20,25,71,47,7,91,62,84,60,50,21,21,87,40,67,69,94,43,57,27,5,61,72,21,25,79,67,17,81,25,85,91,94,59,91,54,97,76,26,20,75,46,88,7
k_5,37,100,26,69,79,14,67,20,24,38,54,11,10,91,6,80,54,23,4,34,24,91,52,39,63,10,81,37,95,26,39,1,65,85,86,93,69,69,78,94,34,11,53,62,86,36,50,53,17,69,69,38,1,32,71,95,62,43,14,87
k_6,61,38,50,30,26,96,64,62,3,19,71,5,83,65,89,58,55,43,33,98,5,55,70,57,66,44,31,31,38,86,83,9,51,27,5,54,34,41,92,16,7,86,41,5,7,52,59,69,75,58,52,14,11,70,58,92,73,95,90,57
k_7,33,71,59,85,99,96,2,18,85,85,83,36,72,20,64,20,85,94,62,94,24,77,42,41,14,81,74,16,54,31,67,28,75,29,68,2,29,71,89,22,13,28,10,47,2,65,21,51,45,97,5,82,47,52,38,71,3,58,52,58
k_8,90,57,35,71,2,51,32,92,19,44,3,40,99,30,91,37,98,66,44,50,78,34,98,33,87,29,96,10,72,58,90,3,77,26,31,100,23,55,72,38,9,12,40,8,91,44,93,43,7,94,73,34,85,88,65,35,84,30,53,20
k_9,66,86,7,52,83,74,41,35,33,16,39,38,8,49,93,11,21,38,78,72,27,71,95,41,82,58,87,90,21,44,7,21,27,95,12,39,4,17,84,75,44,52,22,88,25,27,24,13,71,23,8,8,94,57,54,34,26,2,47,98
k_10,19,39,43,7,28,26,94,77,37,47,53,59,85,50,51,91,15,41,74,89,35,13,75,30,69,17,39,2,56,39,87,76,86,11,35,20,82,8,74,9,52,39,26,78,42,77,37,93,6,35,77,89,32,60,68,1,41,25,96,4
k_11,32,36,1,37,17,17,24,35,2,79,55,35,80,30,83,48,21,6,19,21,10,54,18,14,91,22,93,80,59,26,22,44,79,96,29,80,18,11,53,80,5,42,19,48,70,33,50,4,22,50,27,43,6,15,35,68,19,60,2,52
k_12,19,64,78,47,81,96,33,87,97,53,24,64,31,31,38,36,3,18,81,36,15,47,36,63,7,58,37,41,85,15,74,53,15,67,73,78,68,15,48,11,53,71,77,35,21,85,34,67,58,8,79,1,91,27,90,75,12,17,11,97
k_13,30,73,50,66,61,94,47,76,5,91,39,63,13,53,100,69,64,27,77,60,29,9,66,42,58,49,69,43,34,79,80,45,84,64,61,51,96,53,45,9,13,43,91,88,56,85,63,28,98,94,52,25,97,95,91,28,17,16,55,73
