commodity,e_0,e_1,e_10,e_11,e_12,e_13,e_14,e_15,e_16,e_17,e_18,e_19,e_2,e_20,e_21,e_22,e_23,e_24,e_25,e_26,e_27,e_28,e_29,e_3,e_30,e_31,e_32,e_33,e_34,e_35,e_36,e_37,e_38,e_39,e_4,e_40,e_41,e_42,e_43,e_44,e_45,e_46,e_47,e_48,e_49,e_5,e_50,e_51,e_52,e_53,e_54,e_55,e_56,e_57,e_58,e_59,e_6,e_60,e_61,e_62,e_63,e_64,e_65,e_66,e_67,e_68,e_69,e_7,e_70,e_71,e_72,e_73,e_74,e_75,e_76,e_77,e_78,e_79,e_8,e_80,e_81,e_82,e_83,e_84,e_85,e_86,e_87,e_88,e_89,e_9,e_90,e_91,e_92,e_93,e_94
k_0,54,24,27,75,80,100,26,21,88,84,8,91,58,40,67,66,98,25,49,23,50,33,84,22,74,44,58,25,62,36,47,9,83,79,74,81,27,7,52,43,84,87,54,82,8,60,30,62,82,59,39,59,44,58,59,30,81,15,24,76,65,36,49,24,69,7,77,82,26,27,62,35,55,38,84,92,65,66,22,85,75,25,96,86,32,32,76,43,36,8,35,21,99,90,36
k_1,15,78,29,89,3,44,26,73,45,40,91,6,52,37,22,26,8,56,1,56,71,75,2,48,43,59,24,81,80,5,79,98,19,76,45,98,91,81,73,68,92,37,90,53,25,63,93,6,64,93,96,74,12,46,11,74,99,89,73,45,58,93,87,47,88,13,46,74,34,92,15,39,11,45,54,10,67,17,22,47,59,40,68,85,87,56,83,10,22,67,35,79,44,55,56
k_2,69,67,10,84,51,70,45,47,81,7,50,1,28,7,94,38,15,92,42,52,32,58,63,27,60,99,92,99,63,6,52,23,53,66,78,96,81,75,51,78,13,81,89,95,31,93,55,89,42,29,51,32,40,19,31,87,37,10,74,19,40,34,58,12,54,75,64,18,2,33,41,5,39,87,70,14,93,82,16,52,70,18,54,17,83,34,25,47,23,18,62,99,98,23,69
k_3,45,1,83,93,41,71,56,12,52,38,88,46,34,41,76,53,63,92,18,39,15,80,82,77,25,91,70,91,93,59,45,60,37,7,66,57,65,60,87,1,97,22,12,4,96,51,8,34,76,81,72,95,18,8,32,6,79,37,4,62,27,53,70,89,87,35,60,31,73,56,46,30,33,45,71,96,70,88,13,58,14,88,32,74,8,84,63,41,98,38,52,58,36,90,31
k_4,78,16,84,53,20,82,16,65,15,40,38,66,49,17,10,59,85,10,65,89,63,87,66,10,41,45,62,58,6,9,70,89,34,42,14,83,38,50,48,40,18,27,72,88,3,35,16,76,68,27,40,72,8,26,89,58,93,60,37,13,75,3,1,72,82,27,18,15,65,50,75,73,30,30,87,68,6,44,49,9,30,73,1,55,17,58,49,93,36,27,56,94,73,97,52
k_5,21,3,28,4,79,64,55,40,85,54,64,98,1,90,74,27,15,1,100,40,90,37,27,3,72,86,100,69,54,64,86,30,31,63,5,1,84,2,28,69,85,39,14,76,42,19,27,27,45,54,93,75,80,89,14,77,90,83,23,5,18,64,54,5,50,41,55,89,85,43,46,71,69,54,17,92,23,3,15,12,54,26,49,11,20,25,98,64,31,59,79,6,69,37,37
k_6,25,32,95,95,51,12,52,79,95,71,56,40,58,89,86,47,52,64,99,38,52,63,29,53,56,51,70,98,38,85,53,71,33,81,14,67,31,28,10,71,97,10,100,40,26,54,12,70,77,88,22,77,4,23,76,77,43,34,34,86,19,59,47,67,5,72,35,4,3,18,30,83,69,29,55,44,6,20,20,73,96,77,23,62,46,14,8,66,28,97,40,73,57,34,92
k_7,5,3,100,45,45,69,71,77,98,95,83,62,23,86,34,22,35,72,35,10,90,36,11,19,23,70,69,2,98,73,19,52,31,17,46,88,56,61,23,72,91,13,24,57,90,87,2,66,23,75,80,32,71,29,61,3,65,7,56,7,57,20,29,75,56,14,95,73,53,79,19,67,80,81,73,29,39,89,62,31,90,52,35,55,59,58,93,76,8,59,86,7,49,53,22
k_8,95,25,64,46,14,45,10,36,35,94,38,92,9,55,40,50,6,83,89,68,21,23,85,60,62,9,17,70,54,99,66,49,29,100,15,31,38,36,98,12,95,11,84,4,95,49,80,71,36,37,47,59,15,39,86,30,50,16,70,87,25,83,12,31,19,50,50,53,6,46,6,63,97,89,11,89,85,90,7,10,26,68,71,92,90,19,59,51,80,9,11,10,34,98,100
k_9,58,47,100,97,98,47,91,33,29,43,97,50,62,32,7,31,46,69,24,62,27,4,91,47,79,11,39,76,74,46,47,29,45,46,83,4,75,81,33,63,96,47,9,61,47,85,28,35,85,86,2,11,58,11,38,11,39,77,86,54,74,79,14,38,13,85,69,57,60,46,67,12,22,76,78,66,34,94,46,47,63,6,97,29,88,68,51,92,1,99,35,3,84,7,10
